form,lemma,pos
SElden,houden,n(plu)
siet,zien,"v(fin,pres,lex)"
men,men,pron(indef)
t',te,pron(dem)
samen,samen,"v(fin,pres,aux_cop)+pron(indef)"
paren,paar,v(infin)
Heyligheyt,heiligheid,n(sing)
ende,en,conj(coord)
de,de,art(def)
jonghe,jong,adj()
jaren.,jaar,n(plu)
De,eer,adv(gener)
re'en,regen,"v(fin,pres,lex)"
hier,hier,adv(dem)
van,van,adp()
Yder,de+heer,adv(gener)
een,een,art(indef)
licht,licht,n(sing)
bevroeden,bevroeden,v(infin)
kan.,kunnen,"v(fin,pres,aux_cop)"
't,et,art(def)
Schoon,choon,n(sing)
in,in,adp()
't,et,art(def)
oogh,oog,n(sing)
doet,doen,n(sing)
haar,zij,"pron(pers,3,sing)"
"verleyden,",verleiden,v(infin)
Ende,en,conj(coord)
de,de,art(def)
tijden,tijd,n(plu)
die,die,pron(rel)
haar,zij,"pron(pers,3,sing)"
verbeyden;,verbeiden,v(infin)
Quae,hui,adv(gener)
"phantasy,",penatis,n(sing)
Dat,hebben,adv(gener)
'sHeeren,de+heer,n(plu)
wegh,weg,n(sing)
vol,vol,adv(gener)
doornen,doorn,n(plu)
sy.,zijn,"v(fin,pres,aux_cop)"
't,eten,adp()
Gheselschap,ezelschap,n(sing)
dolen,dolen,v(infin)
doet.,dood,"v(fin,pres,lex)"
En,een,conj(coord)
echter,echter,adv(gener)
waar,waar,adv(gener)
het,het,"pron(pers,3,sing)"
"goet,",goed,adj()
Jae,haar,adv(gener)
"noodigh,",nodig,adj()
dat,dat,conj(subord)
Sy,ei,"pron(pers,2,plu)"
op,op,adp()
het,het,art(def)
pat,pad,n(sing)
Des,zijn,"v(fin,pres,aux_cop)"
deughts,deugd,art(def)+n(sing)
behielden,behouden,v(infin)
van,van,adp()
joncks,jong,n(sing)
haar,haar,pron(poss)
voet.,voet,n(sing)
Ter,eer,adv(gener)
bequamer,bekwaar,"v(fin,past,lex)"
tijdt,tijd,n(sing)
besteden,bestaden,v(infin)
Tot,hoofd,adv(gener)
het,het,"pron(pers,3,sing)"
wel,wel,adv(gener)
leven,leven,v(infin)
sijn,zijn,pron(poss)
frissche,fries,n(sing)
"leden,",lijden,v(infin)
Kan,hanna,adp()
hem,hij,"pron(pers,3,sing)"
noyt,nooit,adv(neg)
"scha'an,",schaten,"v(fin,pres,lex)"
Die,ie,conj(coord)
nae,na,adp()
Gods,hoofd,pron(poss)
heyl,heil,n(sing)
door,door,adp()
deught,deugd,art(def)+n(sing)
wil,willen,"v(fin,pres,aux_cop)"
gaan.,gaan,v(infin)
Teere,eer,adv(gener)
rijsjens,rijsen,n(sing)
jongh,jong,n(sing)
"gheboghen,",buigen,v(infin)
Sietmen,heten+men,v(infin)
alleynsjens,alleens,adv(gener)
den,de,art(def)
top,top,n(sing)
be-ooghen.,behoegen,v(infin)
't,et,conj(subord)
Nieuw,huiuw,n(prop)
aarden,harde,adj()
vat,vat,n(sing)
Houdt,houden,conj(coord)
langh,lang,adv(gener)
den,de,art(def)
reuck,rek,n(sing)
van,van,adp()
't,et,art(def)
eerste,eerst,num(ord)
nat.,nat,n(sing)
Deught,echt,adv(gener)
staagh,staag,n(sing)
van,van,adp()
jonghs,jong,n(sing)
"ghedaan,",doen,n(sing)
Een,een,art(indef)
tweeden,tweede,num(ord)
aart,aard,n(sing)
neemt,nemen,v(imp)
aan;,aan,n(sing)
Die,hij,adv(gener)
sterckt,sterken,"v(fin,pres,lex)"
ons,wij,"pron(pers,1,plu)"
tret,het+rijden,"v(fin,pres,lex)"
In,en,adp()
