form,lemma,pos
Gaat,goud,n(sing)
"heên,",hebben,v(infin)
gy,gij,"pron(pers,2,plu)"
"aardsgezinden,",aardsgeden,n(plu)
En,na,adv(neg)
blyft,blijven,"v(fin,pres,lex)"
uit,uit,adp()
Bethl'hems,ethillecht,n(prop)
stal.,stal,n(sing)
Daar,zij,n(sing)
is,zijn,"v(fin,pres,aux_cop)"
niet,niet,adv(neg)
in,in,adp()
te,te,adp()
"vinden,",vinden,v(infin)
't,at,conj(coord)
Geen,een,n(sing)
u,gij,pron(poss)
behagen,behagen,n(sing)
"zal,",zullen,"v(fin,pres,aux_cop)"
O!,!,adv(neg)
vond,vinden,adj()
gy,gij,"pron(pers,2,plu)"
daer,daar,pronadv(rel)
de,de,art(def)
Wereld,arend,n(sing)
"in,",in,adp()
Dan,ja,adv(gener)
was,zijn,"v(fin,past,aux_cop)"
het,het,"pron(pers,3,sing)"
naar,naar,adp()
uw',uw,pron(poss)
zin.,zijn,pron(poss)
Maar,haar,n(prop)
ô,.,misc()
de,de,art(def)
Hemelkoning,hemelingpong,n(sing)
Legt,echt,"v(fin,pres,lex)"
hier,hier,adv(dem)
in,in,pronadv(prep)
knechts,knecht,n(sing)
vertooning.,vertonk,n(sing)
Hoe,hoe,interj()
nauw,nauw,n(sing)
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
hoe,hoe,adv(inter)
nauw,nauw,"v(fin,pres,lex)"
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
De,eer,conj(coord)
Wereld,eer+hel,adj()
is,zijn,"v(fin,pres,aux_cop)"
'er,eer,pronadv(dem)
niet.,niet,adv(neg)
Zaagt,hachten,interj()
gy,gij,"pron(pers,2,plu)"
hem,hij,"pron(pers,3,sing)"
hier,hier,adv(dem)
met,met,adp()
"kroonen,",kroon,n(sing)
En,en,conj(coord)
Vorstelyke,horstelijk,adv(gener)
"pracht,",pracht,n(sing)
Staatzuchtigen!,ik+staduitigen,art(def)+n(sing)
"vertoonen,",vertonen,n(sing)
Hy,gij,pron(poss)
wierd,worden,n(sing)
van,van,adp()
u,gij,"pron(pers,2,plu)"
geacht.,achten,"v(fin,pres,lex)"
Voor,haar,adp()
"al,",al,pron(indef)
wanneer,wanneer,adv(inter)
gy,gij,"pron(pers,2,plu)"
staat,staan,"v(fin,pres,lex)"
en,ne,adv(neg)
eer,eer,adv(gener)
Verkreegt,erkrekken,"v(fin,pres,lex)"
van,van,adp()
dezen,deze,pron(dem)
Heer.,eer,n(sing)
Maar,zij,"v(fin,pres,lex)"
't,eten,"v(fin,pres,lex)"
geen,geen,pron(indef)
uw',uw,n(sing)
oogen,oog,n(plu)
"zagen,",zien,"v(fin,pres,lex)"
Dat,hebben,adv(gener)
kan,kunnen,"v(fin,pres,aux_cop)"
u,gij,"pron(pers,2,plu)"
niet,niet,adv(neg)
behagen.,behagen,v(infin)
Hoe,hoe,interj()
nauw,nauw,n(sing)
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
hoe,hoe,adv(inter)
nauw,nauw,adv(gener)
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
Het,eten,conj(coord)
Hof,of,conj(coord)
en,ne,adv(neg)
is,zijn,"v(fin,pres,aux_cop)"
'er,eer,adv(gener)
niet.,niet,adv(neg)
Gy,ei,adv(gener)
greept,grijpen,"v(fin,pres,lex)"
met,met,adp()
beide,beide,conj(coord)
uw',uw,pron(poss)
handen,hand,n(plu)
Naar,zij,n(prop)
't,eten,art(def)
"Kind,",indan,n(sing)
was,zijn,"v(fin,past,aux_cop)"
dat,dat,conj(subord)
van,van,adp()
"goud,",goud,n(sing)
ô,gij,conj(coord)
Vrek:,reken,n(sing)
maar,maar,interj()
ziet,zien,v(imp)
geen,geen,pron(indef)
"panden,",panden,v(infin)
Die,hij,"pron(pers,1,sing)"
gy,gij,"pron(pers,2,plu)"
beleenen,belenen,v(infin)
zoud.,zullen,"v(fin,pres,aux_cop)"
Gy,hij,interj()
ziet,zien,"v(fin,pres,lex)"
in,in,adp()
"krib,",kribbe,n(sing)
en,een,conj(coord)
stroo,stro,n(sing)
geen,geen,pron(indef)
"winst,",winst,n(sing)
En,en,conj(coord)
aan,aan,adp()
dat,dat,art(def)
Kind,zinden,"v(fin,pres,lex)"
nog,noch,conj(coord)
't,eten,adv(gener)
minst.,minst,n(sing)
Gy,hier,conj(coord)
kont,kond,adj()
in,in,adp()
arme,arm,adj()
doeken,doeken,n(sing)
Geen,een,conj(coord)
ryken,rijk,adj()
woeker,woeker,n(sing)
zoeken.,zoeken,v(infin)
Hoe,hoe,conj(coord)
nauw,nauw,n(sing)
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
hoe,hoe,adv(inter)
nauw,nauw,"v(fin,pres,lex)"
gy,gij,"pron(pers,2,plu)"
"ziet,",zien,"v(fin,pres,aux_cop)"
Uw,uw,adv(gener)
Geldkist,alluttest,adj()
