Lemma,Nombre d'apparitions,Frequence d'apparition
hij,13,0.05
zijn,12,0.04615
de,12,0.04615
gij,8,0.03077
ne,8,0.03077
mijn,8,0.03077
eer,6,0.02308
niet,5,0.01923
ik,5,0.01923
spreken,5,0.01923
hebben,4,0.01538
hand,4,0.01538
al,4,0.01538
je,4,0.01538
ader,3,0.01154
hoon,3,0.01154
in,3,0.01154
dat,3,0.01154
met,3,0.01154
kunnen,3,0.01154
als,3,0.01154
een,3,0.01154
hoofd,3,0.01154
jaar,2,0.00769
eten,2,0.00769
zien,2,0.00769
boos,2,0.00769
wij,2,0.00769
nu,2,0.00769
dit,2,0.00769
willen,2,0.00769
uw,2,0.00769
dan,2,0.00769
nemen,2,0.00769
horen,2,0.00769
beroemen,2,0.00769
aan,2,0.00769
houden,2,0.00769
te,2,0.00769
van,2,0.00769
uit,2,0.00769
oon,1,0.00385
hode,1,0.00385
stenen,1,0.00385
werpen,1,0.00385
bespotten,1,0.00385
doen,1,0.00385
lieden,1,0.00385
bewijzen,1,0.00385
maar,1,0.00385
enig,1,0.00385
prijzen,1,0.00385
zullen,1,0.00385
hoeden,1,0.00385
versteken,1,0.00385
zij,1,0.00385
geweken,1,0.00385
heer,1,0.00385
opraken,1,0.00385
eigen,1,0.00385
ja,1,0.00385
kennen,1,0.00385
binnen,1,0.00385
leven,1,0.00385
tijdig,1,0.00385
geschieden,1,0.00385
immer,1,0.00385
bederven,1,0.00385
sterven,1,0.00385
lang,1,0.00385
zoeken,1,0.00385
verheffen,1,0.00385
oven,1,0.00385
aemilius,1,0.00385
verklaren,1,0.00385
beminnen,1,0.00385
zo,1,0.00385
vernemen,1,0.00385
dag,1,0.00385
verblijden,1,0.00385
tijd,1,0.00385
roon,1,0.00385
de+braham,1,0.00385
geboren,1,0.00385
verkiezen,1,0.00385
nooit,1,0.00385
nimmer,1,0.00385
erk,1,0.00385
toen,1,0.00385
vermanen,1,0.00385
hoddelijk,1,0.00385
verstoten,1,0.00385
ie,1,0.00385
wet,1,0.00385
iemand,1,0.00385
vroom,1,0.00385
voortkomen,1,0.00385
die,1,0.00385
wankelboe,1,0.00385
geloof,1,0.00385
ont,1,0.00385
het+zijn,1,0.00385
ja's1am,1,0.00385
bekennen,1,0.00385
woord,1,0.00385
zitten,1,0.00385
klaar,1,0.00385
overtijgen,1,0.00385
zonde,1,0.00385
vinden,1,0.00385
mens,1,0.00385
oud,1,0.00385
het+zij,1,0.00385
snood,1,0.00385
recht,1,0.00385
onderdien,1,0.00385
verkouden,1,0.00385
huid,1,0.00385
meer,1,0.00385
het+ij,1,0.00385
vergaan,1,0.00385
abraham,1,0.00385
en,1,0.00385
weten,1,0.00385
rofhoeden,1,0.00385
de+doen,1,0.00385
noch,1,0.00385
uiterven,1,0.00385
eed,1,0.00385
de+na,1,0.00385
veel,1,0.00385
jezus,1,0.00385
belangen,1,0.00385
duivel,1,0.00385
hovan,1,0.00385
loos,1,0.00385
lemma_unclear,1,0.00385
voorwaarlijk,1,0.00385
amariat,1,0.00385
kwaad,1,0.00385
