Lemma,Nombre d'apparitions,Frequence d'apparition
gij,8,0.04124
dan,5,0.02577
mijn,5,0.02577
ik,5,0.02577
in,4,0.02062
ne,4,0.02062
het,4,0.02062
van,4,0.02062
pijl,4,0.02062
de,3,0.01546
dat,3,0.01546
zijn,3,0.01546
op,3,0.01546
schoon,3,0.01546
ja,3,0.01546
:,2,0.01031
na,2,0.01031
hand,2,0.01031
wat,2,0.01031
een,2,0.01031
eren,2,0.01031
niet,2,0.01031
zo,2,0.01031
te,2,0.01031
dit,2,0.01031
hij,2,0.01031
scheiden,2,0.01031
hebben,2,0.01031
ortie,2,0.01031
al,2,0.01031
of,2,0.01031
zullen,2,0.01031
schieten,1,0.00515
eli,1,0.00515
haasten,1,0.00515
verdrieten,1,0.00515
balsem,1,0.00515
desten,1,0.00515
mis,1,0.00515
voort,1,0.00515
gijs,1,0.00515
stichten,1,0.00515
doen,1,0.00515
wicht,1,0.00515
en,1,0.00515
stallagen,1,0.00515
blindheid,1,0.00515
o,1,0.00515
genieten,1,0.00515
kunst,1,0.00515
aken,1,0.00515
wil,1,0.00515
bral,1,0.00515
eerst,1,0.00515
grielen,1,0.00515
deze,1,0.00515
steken,1,0.00515
offeren,1,0.00515
vonnissen,1,0.00515
uit,1,0.00515
ieder,1,0.00515
blijven,1,0.00515
om,1,0.00515
meerderen,1,0.00515
liggen,1,0.00515
anders,1,0.00515
beginnen,1,0.00515
raken,1,0.00515
as,1,0.00515
doorschijnen,1,0.00515
hart,1,0.00515
motage,1,0.00515
blaken,1,0.00515
vurig,1,0.00515
200,1,0.00515
droevenis,1,0.00515
hier,1,0.00515
af,1,0.00515
hoeden,1,0.00515
met,1,0.00515
booshem,1,0.00515
zien,1,0.00515
geen,1,0.00515
yelande,1,0.00515
willen,1,0.00515
vallen,1,0.00515
eter,1,0.00515
laten,1,0.00515
homeling,1,0.00515
braken,1,0.00515
te+de,1,0.00515
verliezen,1,0.00515
ai,1,0.00515
veel,1,0.00515
uitgelacht,1,0.00515
dapper,1,0.00515
worden,1,0.00515
jupidotie,1,0.00515
wachten,1,0.00515
liefde,1,0.00515
hangen+maken,1,0.00515
hoog,1,0.00515
te+dienen,1,0.00515
waken,1,0.00515
minne,1,0.00515
kropo,1,0.00515
schicht,1,0.00515
kracht,1,0.00515
uw,1,0.00515
zij,1,0.00515
zin,1,0.00515
binnen,1,0.00515
houden,1,0.00515
gene,1,0.00515
ech,1,0.00515
koop,1,0.00515
boog,1,0.00515
ju,1,0.00515
regaal,1,0.00515
loop,1,0.00515
euet,1,0.00515
klein,1,0.00515
vrij,1,0.00515
lopen,1,0.00515
hopen,1,0.00515
licht,1,0.00515
piltij,1,0.00515
drossem,1,0.00515
blijf,1,0.00515
ook,1,0.00515
gunst,1,0.00515
