Lemma,Nombre d'apparitions,Frequence d'apparition
wij,9,0.06475
uw,6,0.04317
gij,6,0.04317
ne,4,0.02878
in,4,0.02878
een,3,0.02158
hoofd,3,0.02158
et,3,0.02158
hebben,3,0.02158
zijn,2,0.01439
ook,2,0.01439
de,2,0.01439
haarom,2,0.01439
heilig,2,0.01439
eer,2,0.01439
ja,2,0.01439
hij,2,0.01439
naam,2,0.01439
worden,2,0.01439
samen,2,0.01439
bij,2,0.01439
midden,2,0.01439
verheffen,1,0.00719
ierig,1,0.00719
ader,1,0.00719
dank,1,0.00719
of,1,0.00719
vergaren,1,0.00719
bewaren,1,0.00719
dat,1,0.00719
te,1,0.00719
heterfelijk,1,0.00719
blij,1,0.00719
bekwaam,1,0.00719
voortgraag,1,0.00719
eeuwigheid,1,0.00719
rechten,1,0.00719
ne+zij,1,0.00719
hangen,1,0.00719
leven,1,0.00719
al,1,0.00719
haar,1,0.00719
hoon,1,0.00719
geven,1,0.00719
en,1,0.00719
wijs,1,0.00719
oven,1,0.00719
onversaagd,1,0.00719
heten,1,0.00719
zeer,1,0.00719
eenmoedig,1,0.00719
goedig,1,0.00719
lof,1,0.00719
prijs,1,0.00719
lang,1,0.00719
houden,1,0.00719
eel,1,0.00719
eten,1,0.00719
hand,1,0.00719
versterken,1,0.00719
macht,1,0.00719
met,1,0.00719
werk,1,0.00719
boven,1,0.00719
kracht,1,0.00719
wezen,1,0.00719
welbehagen,1,0.00719
tot,1,0.00719
trouw,1,0.00719
heer,1,0.00719
prijzen,1,0.00719
ons,1,0.00719
no,1,0.00719
als,1,0.00719
zonder,1,0.00719
gunnen,1,0.00719
niet,1,0.00719
bedrijven,1,0.00719
goed,1,0.00719
hee,1,0.00719
voortraafge,1,0.00719
recht,1,0.00719
voorspoedig,1,0.00719
doch,1,0.00719
stond,1,0.00719
deze,1,0.00719
ootmoedig,1,0.00719
knecht,1,0.00719
mond,1,0.00719
epen+het,1,0.00719
blijven,1,0.00719
nu,1,0.00719
willen,1,0.00719
men,1,0.00719
