Lemma,Nombre d'apparitions,Frequence d'apparition
een,5,0.02959
ne,5,0.02959
van,5,0.02959
als,4,0.02367
uw,4,0.02367
al,4,0.02367
zijn,4,0.02367
zij,3,0.01775
ja,3,0.01775
mijn,3,0.01775
niet,3,0.01775
en,3,0.01775
hoe,3,0.01775
tot,3,0.01775
!,3,0.01775
ik,2,0.01183
dan,2,0.01183
ook,2,0.01183
zoet,2,0.01183
meer,2,0.01183
deze,2,0.01183
die,2,0.01183
hoofd,2,0.01183
pijn,2,0.01183
eer,2,0.01183
hart,2,0.01183
jezus,2,0.01183
in,2,0.01183
geen,2,0.01183
gij,2,0.01183
wenen,1,0.00592
gaan,1,0.00592
hoeden,1,0.00592
denietlijk,1,0.00592
smelten,1,0.00592
sterk,1,0.00592
vergaan,1,0.00592
met,1,0.00592
moeten,1,0.00592
woord,1,0.00592
ziel,1,0.00592
gracht,1,0.00592
hodeldijk,1,0.00592
geweld,1,0.00592
willen,1,0.00592
macht,1,0.00592
koe,1,0.00592
beter,1,0.00592
tegenwoordig,1,0.00592
verven,1,0.00592
wereld,1,0.00592
daar,1,0.00592
koze,1,0.00592
erk,1,0.00592
alzulk,1,0.00592
de,1,0.00592
stem,1,0.00592
houwen,1,0.00592
het,1,0.00592
ellende,1,0.00592
his,1,0.00592
lieflijk,1,0.00592
gevroegen,1,0.00592
goed,1,0.00592
weten,1,0.00592
of,1,0.00592
smart,1,0.00592
spreken,1,0.00592
je,1,0.00592
vragen,1,0.00592
walging,1,0.00592
persingen,1,0.00592
roepen,1,0.00592
chesua,1,0.00592
vuur,1,0.00592
halig,1,0.00592
ons,1,0.00592
op,1,0.00592
staan,1,0.00592
naar,1,0.00592
vrede,1,0.00592
eerst,1,0.00592
deur,1,0.00592
zeggen,1,0.00592
ester,1,0.00592
verstoren,1,0.00592
blijven,1,0.00592
asart,1,0.00592
wanhoop,1,0.00592
uit,1,0.00592
troost,1,0.00592
lavenis,1,0.00592
zalig,1,0.00592
ei,1,0.00592
peis,1,0.00592
preken,1,0.00592
horen,1,0.00592
jehanaar,1,0.00592
magdalena,1,0.00592
bloesen,1,0.00592
houden,1,0.00592
min,1,0.00592
haat,1,0.00592
zaak,1,0.00592
vergankelijk,1,0.00592
licht,1,0.00592
geschapen,1,0.00592
voelen,1,0.00592
lusten,1,0.00592
enigerhande,1,0.00592
voeden,1,0.00592
snopen,1,0.00592
smaken,1,0.00592
hegengenis,1,0.00592
