Lemma,Nombre d'apparitions,Frequence d'apparition
ik,24,0.17143
mijn,10,0.07143
een,9,0.06429
de,7,0.05
in,7,0.05
ne,7,0.05
eten,4,0.02857
dat,4,0.02857
et,4,0.02857
tot,4,0.02857
uw,4,0.02857
hebben,3,0.02143
met,3,0.02143
gij,3,0.02143
voor,3,0.02143
aan,3,0.02143
kok,3,0.02143
twee,3,0.02143
hoe,2,0.01429
deze,2,0.01429
eer,2,0.01429
immer,1,0.00714
mij,1,0.00714
de+te,1,0.00714
nu,1,0.00714
eerietlang,1,0.00714
ook,1,0.00714
i,1,0.00714
dan,1,0.00714
aitoe,1,0.00714
ewaar,1,0.00714
tegen,1,0.00714
op,1,0.00714
van,1,0.00714
hamen,1,0.00714
ja,1,0.00714
niet,1,0.00714
hier,1,0.00714
het,1,0.00714
ool,1,0.00714
weerstaan,1,0.00714
lieflijk,1,0.00714
nergens,1,0.00714
hij,1,0.00714
noch,1,0.00714
zeer,1,0.00714
hoofd,1,0.00714
beterstraauw,1,0.00714
ergens,1,0.00714
zelf,1,0.00714
