Lemma,Nombre d'apparitions,Frequence d'apparition
een,9,0.08654
et,8,0.07692
op,6,0.05769
gij,5,0.04808
als,4,0.03846
de,4,0.03846
in,4,0.03846
wij,4,0.03846
eten,3,0.02885
eer,3,0.02885
mijn,3,0.02885
met,3,0.02885
dan,3,0.02885
ik,2,0.01923
of,2,0.01923
van,2,0.01923
zeer,2,0.01923
voor,2,0.01923
het,2,0.01923
hij,2,0.01923
ons,2,0.01923
men,1,0.00962
hoeden,1,0.00962
ja,1,0.00962
dat,1,0.00962
alhier,1,0.00962
ne+zij,1,0.00962
zij,1,0.00962
adieu,1,0.00962
dat+hij,1,0.00962
koken,1,0.00962
te,1,0.00962
aan,1,0.00962
eed,1,0.00962
hoofd,1,0.00962
ne+niet,1,0.00962
:,1,0.00962
en,1,0.00962
daar,1,0.00962
getrijd,1,0.00962
niet,1,0.00962
uw,1,0.00962
a,1,0.00962
lemma_unclear,1,0.00962
wat,1,0.00962
edee,1,0.00962
nauw,1,0.00962
nu,1,0.00962
die,1,0.00962
hangen,1,0.00962
