Lemma,Nombre d'apparitions,Frequence d'apparition
een,19,0.10734
de,17,0.09605
ik,13,0.07345
gij,12,0.0678
ne,12,0.0678
het,11,0.06215
mijn,8,0.0452
in,6,0.0339
op,6,0.0339
zij,5,0.02825
uw,5,0.02825
eten,4,0.0226
te,3,0.01695
deze,3,0.01695
al,3,0.01695
horen,3,0.01695
haten,3,0.01695
het+zij,2,0.0113
.,2,0.0113
hebben,2,0.0113
of,2,0.0113
zijn,2,0.0113
tot,2,0.0113
hand,2,0.0113
haar,2,0.0113
van,2,0.0113
wij,2,0.0113
wat,2,0.0113
na,1,0.00565
als,1,0.00565
hoog,1,0.00565
eeuw,1,0.00565
min,1,0.00565
houden,1,0.00565
ja,1,0.00565
je,1,0.00565
mits,1,0.00565
doch,1,0.00565
a,1,0.00565
dit,1,0.00565
hoe,1,0.00565
ide,1,0.00565
n,1,0.00565
met,1,0.00565
koken,1,0.00565
gemeen,1,0.00565
zieden,1,0.00565
alleen,1,0.00565
hangen,1,0.00565
hooit,1,0.00565
