Lemma,Nombre d'apparitions,Frequence d'apparition
ik,21,0.19266
mijn,7,0.06422
gij,7,0.06422
zij,6,0.05505
het,4,0.0367
te,3,0.02752
en,3,0.02752
de,3,0.02752
dat,3,0.02752
ne,3,0.02752
eer,2,0.01835
wat,2,0.01835
een,2,0.01835
zo,2,0.01835
te+de,2,0.01835
die,2,0.01835
niet,2,0.01835
nu,2,0.01835
daar,2,0.01835
voormaals,2,0.01835
uw,2,0.01835
om,2,0.01835
nog,1,0.00917
haar,1,0.00917
immermeer,1,0.00917
99,1,0.00917
wel,1,0.00917
hartelijk,1,0.00917
aan,1,0.00917
du,1,0.00917
hier,1,0.00917
in,1,0.00917
zijn,1,0.00917
elk,1,0.00917
het+of,1,0.00917
dikwijls,1,0.00917
dit,1,0.00917
e,1,0.00917
zelf,1,0.00917
voor,1,0.00917
met,1,0.00917
op,1,0.00917
heilig,1,0.00917
hij,1,0.00917
ik+cet,1,0.00917
al,1,0.00917
noch,1,0.00917
