Lemma,Nombre d'apparitions,Frequence d'apparition
ik,9,0.07627
de,6,0.05085
eer,6,0.05085
eten,6,0.05085
van,5,0.04237
zijn,4,0.0339
ne,4,0.0339
het,4,0.0339
dat,4,0.0339
of,3,0.02542
noch,3,0.02542
met,2,0.01695
voor,2,0.01695
een,2,0.01695
zo,2,0.01695
hoofd,2,0.01695
uw,2,0.01695
hebben,2,0.01695
hangen,2,0.01695
gij,2,0.01695
deze,2,0.01695
en,2,0.01695
tot+de,1,0.00847
wij,1,0.00847
ever,1,0.00847
zij,1,0.00847
:,1,0.00847
dijn,1,0.00847
over,1,0.00847
de+het+gemerdilafsch,1,0.00847
mijn,1,0.00847
al,1,0.00847
teder,1,0.00847
uit,1,0.00847
te,1,0.00847
et,1,0.00847
nemen,1,0.00847
nu,1,0.00847
hij,1,0.00847
de+in,1,0.00847
aan,1,0.00847
elk,1,0.00847
als,1,0.00847
wel,1,0.00847
nooit,1,0.00847
zullen+gij,1,0.00847
gelijk,1,0.00847
dan,1,0.00847
vuur,1,0.00847
eewst,1,0.00847
op,1,0.00847
haar,1,0.00847
toch,1,0.00847
vals,1,0.00847
innigig,1,0.00847
de+onvroed,1,0.00847
ee,1,0.00847
ja,1,0.00847
terrecht,1,0.00847
johannes,1,0.00847
zonder,1,0.00847
o,1,0.00847
mits,1,0.00847
huis,1,0.00847
