Lemma,Nombre d'apparitions,Frequence d'apparition
ik,19,0.16522
in,5,0.04348
het,5,0.04348
mijn,5,0.04348
hij,5,0.04348
ne,5,0.04348
gij,5,0.04348
al,3,0.02609
op,3,0.02609
een,3,0.02609
zijn,3,0.02609
ja,3,0.02609
hebben,2,0.01739
haar,2,0.01739
eten,2,0.01739
de,2,0.01739
te,2,0.01739
hoofd,2,0.01739
ei,2,0.01739
hood,2,0.01739
haten,2,0.01739
eer,2,0.01739
et,2,0.01739
van,2,0.01739
niet,2,0.01739
dat,1,0.0087
om,1,0.0087
aan,1,0.0087
geen,1,0.0087
de+te,1,0.0087
eg,1,0.0087
horen,1,0.0087
zullen,1,0.0087
als,1,0.0087
uw,1,0.0087
vol,1,0.0087
hand,1,0.0087
hoe,1,0.0087
met,1,0.0087
weer,1,0.0087
na,1,0.0087
en,1,0.0087
voor,1,0.0087
meer,1,0.0087
je,1,0.0087
nu,1,0.0087
zij,1,0.0087
meest,1,0.0087
die,1,0.0087
hangen,1,0.0087
