Lemma,Nombre d'apparitions,Frequence d'apparition
gij,12,0.08
ik,12,0.08
de,10,0.06667
een,9,0.06
het,8,0.05333
dan,6,0.04
eer,5,0.03333
te,5,0.03333
voor,5,0.03333
met,4,0.02667
uw,4,0.02667
van,4,0.02667
niet,3,0.02
hebben,3,0.02
at,3,0.02
die,3,0.02
in,3,0.02
eten,2,0.01333
kok,2,0.01333
naar,2,0.01333
dat,2,0.01333
mijn,2,0.01333
zelf,2,0.01333
meer,2,0.01333
ja,2,0.01333
op,2,0.01333
a,2,0.01333
zij,2,0.01333
hoofd,2,0.01333
om,2,0.01333
en,2,0.01333
als,2,0.01333
zich,2,0.01333
aan,2,0.01333
haar,2,0.01333
ate,1,0.00667
hun,1,0.00667
vreselijk,1,0.00667
wanneer,1,0.00667
geen,1,0.00667
troon,1,0.00667
openen,1,0.00667
heerlijk,1,0.00667
gijs,1,0.00667
ne,1,0.00667
twee,1,0.00667
aa,1,0.00667
wij,1,0.00667
tot,1,0.00667
zijn,1,0.00667
