Lemma,Nombre d'apparitions,Frequence d'apparition
ik,21,0.11538
de,12,0.06593
mijn,12,0.06593
hij,11,0.06044
gij,10,0.05495
een,9,0.04945
en,8,0.04396
met,8,0.04396
ne,8,0.04396
dat,5,0.02747
na,4,0.02198
zo,4,0.02198
tot,4,0.02198
daar,3,0.01648
in,3,0.01648
op,3,0.01648
aan,3,0.01648
hoofd,3,0.01648
dijn,3,0.01648
nu,3,0.01648
zijn,3,0.01648
hebben,2,0.01099
eer,2,0.01099
over,2,0.01099
toen,2,0.01099
noch,2,0.01099
van,2,0.01099
dagelijks,2,0.01099
wat,2,0.01099
men,2,0.01099
janer,2,0.01099
zeer,2,0.01099
et,2,0.01099
hand,2,0.01099
bij,1,0.00549
aa,1,0.00549
welk,1,0.00549
uit,1,0.00549
voorwaar,1,0.00549
deze,1,0.00549
eeuwig,1,0.00549
vol,1,0.00549
ese,1,0.00549
al+de,1,0.00549
hodot,1,0.00549
henen,1,0.00549
ons,1,0.00549
o,1,0.00549
eelijk,1,0.00549
zij,1,0.00549
