Lemma,Nombre d'apparitions,Frequence d'apparition
uw,8,0.07477
gij,8,0.07477
het,7,0.06542
eten,6,0.05607
de,6,0.05607
ja,5,0.04673
zijn,3,0.02804
zij,3,0.02804
ne,3,0.02804
horen,3,0.02804
haten,3,0.02804
hij,2,0.01869
na,2,0.01869
een,2,0.01869
hand,2,0.01869
bij,2,0.01869
ook,2,0.01869
-,2,0.01869
hard,2,0.01869
zulk,2,0.01869
van,2,0.01869
door,2,0.01869
zo,2,0.01869
et,2,0.01869
met,1,0.00935
hangen,1,0.00935
de+te,1,0.00935
waarderig,1,0.00935
immer,1,0.00935
afstulven+ik,1,0.00935
dat,1,0.00935
land,1,0.00935
hoe,1,0.00935
die,1,0.00935
zonder,1,0.00935
eer,1,0.00935
ge,1,0.00935
voor,1,0.00935
allerlaag,1,0.00935
goed,1,0.00935
achten,1,0.00935
meer,1,0.00935
te+ergoelig,1,0.00935
wat,1,0.00935
noch,1,0.00935
geen,1,0.00935
hebben,1,0.00935
eenselijk,1,0.00935
oogst,1,0.00935
op,1,0.00935
