Lemma,Nombre d'apparitions,Frequence d'apparition
gij,14,0.13462
de,7,0.06731
hebben,6,0.05769
hij,5,0.04808
niet,5,0.04808
en,4,0.03846
dat,4,0.03846
wij,3,0.02885
een,3,0.02885
in,2,0.01923
o,2,0.01923
ie,2,0.01923
ne,2,0.01923
te,2,0.01923
het,2,0.01923
wel,2,0.01923
zijn,2,0.01923
op,2,0.01923
ik,2,0.01923
wat,2,0.01923
hier,2,0.01923
te+uw,1,0.00962
iet,1,0.00962
aan,1,0.00962
elk,1,0.00962
zij,1,0.00962
eer,1,0.00962
eerstmaal,1,0.00962
dit,1,0.00962
in+dat,1,0.00962
naar,1,0.00962
die,1,0.00962
tot,1,0.00962
kortelijk,1,0.00962
haten,1,0.00962
minne,1,0.00962
als,1,0.00962
voor,1,0.00962
wie,1,0.00962
intat,1,0.00962
door,1,0.00962
al,1,0.00962
deze,1,0.00962
van,1,0.00962
zin,1,0.00962
broederlijk,1,0.00962
et,1,0.00962
mindelijk,1,0.00962
alzo,1,0.00962
lopen,1,0.00962
