Lemma,Nombre d'apparitions,Frequence d'apparition
een,15,0.11719
ik,12,0.09375
mijn,11,0.08594
uw,11,0.08594
in,8,0.0625
het,5,0.03906
ne,4,0.03125
eten,3,0.02344
gij,3,0.02344
met,3,0.02344
zijn,3,0.02344
hebben,3,0.02344
doch,2,0.01562
zij,2,0.01562
aan,2,0.01562
hand,2,0.01562
niet,2,0.01562
et,2,0.01562
van,2,0.01562
als,2,0.01562
zo,2,0.01562
:,1,0.00781
wie,1,0.00781
ij,1,0.00781
die,1,0.00781
op,1,0.00781
door,1,0.00781
anders,1,0.00781
eer,1,0.00781
koken,1,0.00781
ja,1,0.00781
.,1,0.00781
noch,1,0.00781
wat,1,0.00781
dan,1,0.00781
hoofd,1,0.00781
du,1,0.00781
geen,1,0.00781
zalig,1,0.00781
dit,1,0.00781
toen,1,0.00781
!,1,0.00781
te,1,0.00781
de,1,0.00781
u,1,0.00781
dijn,1,0.00781
dat,1,0.00781
niets,1,0.00781
eed,1,0.00781
heer,1,0.00781
