chars,Nombre d'apparitions,Frequence d'apparition
en ,18,0.07627
ghe,16,0.0678
er ,10,0.04237
 gh,8,0.0339
us ,8,0.0339
et ,8,0.0339
hen,7,0.02966
ngh,6,0.02542
en.,5,0.02119
 ee,5,0.02119
n. ,5,0.02119
ot ,5,0.02119
eer,5,0.02119
oot,4,0.01695
ft ,4,0.01695
eft,4,0.01695
eef,4,0.01695
ie ,4,0.01695
ven,4,0.01695
lle,4,0.01695
ong,4,0.01695
iet,4,0.01695
 Al,4,0.01695
 do,4,0.01695
ns ,4,0.01695
der,4,0.01695
 on,4,0.01695
ons,4,0.01695
hee,4,0.01695
sen,4,0.01695
"n, ",4,0.01695
nde,4,0.01695
ck ,3,0.01271
an ,3,0.01271
n d,3,0.01271
doo,3,0.01271
rie,3,0.01271
tor,3,0.01271
nt ,3,0.01271
"en,",3,0.01271
jck,3,0.01271
eus,3,0.01271
ieu,3,0.01271
 me,3,0.01271
 vr,3,0.01271
ijc,3,0.01271
lij,3,0.01271
est,3,0.01271
t g,3,0.01271
che,3,0.01271
