chars,Nombre d'apparitions,Frequence d'apparition
en ,44,0.06907
 my,28,0.04396
an ,22,0.03454
 ge,18,0.02826
myn,15,0.02355
yn ,15,0.02355
"t, ",15,0.02355
cht,15,0.02355
"n, ",15,0.02355
de ,15,0.02355
aar,15,0.02355
 uw,14,0.02198
ik ,14,0.02198
"en,",14,0.02198
dt ,14,0.02198
 ik,14,0.02198
t g,13,0.02041
er ,13,0.02041
 de,13,0.02041
oor,12,0.01884
 in,12,0.01884
in ,12,0.01884
 be,12,0.01884
n m,11,0.01727
 da,11,0.01727
n g,11,0.01727
ken,11,0.01727
den,11,0.01727
eer,11,0.01727
 en,11,0.01727
gen,10,0.0157
 ve,10,0.0157
 't,10,0.0157
't ,10,0.0157
my ,10,0.0157
n u,10,0.0157
 va,10,0.0157
van,10,0.0157
e i,9,0.01413
 al,9,0.01413
et ,9,0.01413
n. ,9,0.01413
en.,9,0.01413
t m,9,0.01413
ver,9,0.01413
aan,9,0.01413
ten,9,0.01413
 ha,9,0.01413
"y, ",8,0.01256
 gy,8,0.01256
