chars,Nombre d'apparitions,Frequence d'apparition
en ,23,0.06628
aar,13,0.03746
ar ,13,0.03746
"en,",13,0.03746
",, ",10,0.02882
 ge,9,0.02594
yn ,9,0.02594
 he,9,0.02594
 my,9,0.02594
"n,,",8,0.02305
ik ,8,0.02305
nne,8,0.02305
een,8,0.02305
 ik,8,0.02305
nd ,7,0.02017
te ,7,0.02017
min,7,0.02017
an ,7,0.02017
 da,6,0.01729
my ,6,0.01729
er ,6,0.01729
 be,6,0.01729
len,6,0.01729
"d, ",6,0.01729
at ,6,0.01729
 mi,6,0.01729
in ,6,0.01729
"n, ",6,0.01729
ten,6,0.01729
eel,6,0.01729
n d,6,0.01729
e g,5,0.01441
t i,5,0.01441
 te,5,0.01441
 uw,5,0.01441
hee,5,0.01441
 Wa,5,0.01441
end,5,0.01441
eer,5,0.01441
inn,5,0.01441
 En,5,0.01441
nen,5,0.01441
n h,5,0.01441
oor,5,0.01441
 di,5,0.01441
ert,5,0.01441
oet,5,0.01441
el ,5,0.01441
ind,4,0.01153
 zo,4,0.01153
