chars,Nombre d'apparitions,Frequence d'apparition
en ,38,0.08879
ijn,19,0.04439
 di,15,0.03505
er ,14,0.03271
"t, ",13,0.03037
ck ,13,0.03037
et ,12,0.02804
jn ,10,0.02336
 gh,9,0.02103
cht,9,0.02103
dij,9,0.02103
aer,9,0.02103
", D",9,0.02103
 Di,9,0.02103
 Co,9,0.02103
sch,9,0.02103
n s,9,0.02103
Con,8,0.01869
oni,8,0.01869
nin,8,0.01869
inc,8,0.01869
"n, ",8,0.01869
 en,8,0.01869
 he,8,0.01869
hy ,7,0.01636
der,7,0.01636
den,7,0.01636
ie ,7,0.01636
ghe,7,0.01636
hoo,7,0.01636
 zi,6,0.01402
n d,6,0.01402
aet,6,0.01402
t d,6,0.01402
eyt,6,0.01402
hey,6,0.01402
zij,6,0.01402
dt ,6,0.01402
 Ee,6,0.01402
"jn,",6,0.01402
die,6,0.01402
lij,6,0.01402
n C,6,0.01402
", V",6,0.01402
 He,6,0.01402
 sc,5,0.01168
 be,5,0.01168
 Va,5,0.01168
an ,5,0.01168
nck,5,0.01168
