chars,Nombre d'apparitions,Frequence d'apparition
en ,56,0.0791
een,37,0.05226
"n, ",28,0.03955
"en,",23,0.03249
ijn,23,0.03249
 ee,22,0.03107
et ,22,0.03107
aar,20,0.02825
jn ,19,0.02684
ier,17,0.02401
tje,17,0.02401
‘k ,16,0.0226
 ‘k,15,0.02119
 zo,15,0.02119
"e, ",15,0.02119
"je,",14,0.01977
 mi,14,0.01977
mij,14,0.01977
eb ,14,0.01977
 He,14,0.01977
at ,13,0.01836
rtj,12,0.01695
Heb,12,0.01695
 me,12,0.01695
 gy,11,0.01554
k H,11,0.01554
gy ,11,0.01554
 ge,11,0.01554
t g,11,0.01554
te ,11,0.01554
el ,10,0.01412
er ,10,0.01412
je ,10,0.01412
 he,10,0.01412
En ,10,0.01412
ar ,10,0.01412
met,9,0.01271
 En,9,0.01271
iet,9,0.01271
", D",9,0.01271
n z,9,0.01271
 Ma,9,0.01271
nie,9,0.01271
ert,8,0.0113
ayd,8,0.0113
ef ,8,0.0113
 u ,8,0.0113
ant,8,0.0113
aan,8,0.0113
zoe,7,0.00989
