chars,Nombre d'apparitions,Frequence d'apparition
"n, ",19,0.04935
en ,16,0.04156
et ,15,0.03896
 ee,15,0.03896
een,15,0.03896
 my,14,0.03636
aar,13,0.03377
"t, ",12,0.03117
ar ,12,0.03117
aan,12,0.03117
at ,11,0.02857
yn ,10,0.02597
myn,9,0.02338
t m,8,0.02078
ens,8,0.02078
ns ,8,0.02078
 he,7,0.01818
 da,7,0.01818
"an,",7,0.01818
 Me,7,0.01818
 aa,7,0.01818
an ,7,0.01818
"en,",7,0.01818
 ik,7,0.01818
 wa,7,0.01818
", D",7,0.01818
n w,6,0.01558
as ,6,0.01558
iet,6,0.01558
", Z",6,0.01558
was,5,0.01299
gy ,5,0.01299
 gy,5,0.01299
", H",5,0.01299
oo ,5,0.01299
Mei,5,0.01299
gaa,5,0.01299
uyn,5,0.01299
 Da,5,0.01299
"s, ",5,0.01299
de ,5,0.01299
 be,5,0.01299
ik ,5,0.01299
el ,5,0.01299
 mo,4,0.01039
t i,4,0.01039
n b,4,0.01039
aat,4,0.01039
og ,4,0.01039
tuy,4,0.01039
