chars,Nombre d'apparitions,Frequence d'apparition
en ,30,0.06061
et ,20,0.0404
"t, ",19,0.03838
't ,19,0.03838
 't,19,0.03838
ie ,14,0.02828
 ve,14,0.02828
ver,13,0.02626
 be,13,0.02626
 ge,13,0.02626
cht,12,0.02424
iet,12,0.02424
t g,12,0.02424
er ,12,0.02424
 he,11,0.02222
sch,10,0.0202
 Di,9,0.01818
Die,9,0.01818
rt ,9,0.01818
t v,9,0.01818
 de,9,0.01818
t s,8,0.01616
aer,8,0.01616
an ,8,0.01616
"n, ",8,0.01616
"en,",8,0.01616
 di,8,0.01616
t b,8,0.01616
ft ,8,0.01616
t d,8,0.01616
", D",8,0.01616
eer,8,0.01616
 En,7,0.01414
dt ,7,0.01414
hy ,7,0.01414
 me,7,0.01414
t. ,7,0.01414
En ,7,0.01414
ert,7,0.01414
n ',7,0.01414
ere,7,0.01414
ers,7,0.01414
oot,7,0.01414
elt,6,0.01212
ch ,6,0.01212
 so,6,0.01212
oor,6,0.01212
die,6,0.01212
t h,6,0.01212
ht ,6,0.01212
