chars,Nombre d'apparitions,Frequence d'apparition
en ,26,0.07493
er ,15,0.04323
"n, ",15,0.04323
ck ,15,0.04323
 de,13,0.03746
"en,",13,0.03746
de ,12,0.03458
ijn,9,0.02594
in ,9,0.02594
 in,8,0.02305
aer,8,0.02305
men,7,0.02017
n d,7,0.02017
sch,7,0.02017
 wa,7,0.02017
 Ic,7,0.02017
Ick,7,0.02017
 al,6,0.01729
et ,6,0.01729
ome,6,0.01729
een,6,0.01729
ne ,6,0.01729
 gr,6,0.01729
nde,6,0.01729
el ,5,0.01441
re ,5,0.01441
ren,5,0.01441
 do,5,0.01441
eer,5,0.01441
ver,5,0.01441
 sa,5,0.01441
k s,5,0.01441
len,5,0.01441
jn ,5,0.01441
den,5,0.01441
ene,5,0.01441
roe,5,0.01441
e g,5,0.01441
t w,5,0.01441
", I",5,0.01441
eyd,4,0.01153
al ,4,0.01153
mij,4,0.01153
 mi,4,0.01153
n o,4,0.01153
oen,4,0.01153
gro,4,0.01153
der,4,0.01153
nck,4,0.01153
 we,4,0.01153
