chars,Nombre d'apparitions,Frequence d'apparition
en ,43,0.12647
 de,11,0.03235
er ,11,0.03235
 ge,10,0.02941
dt ,10,0.02941
"t, ",10,0.02941
et ,9,0.02647
den,9,0.02647
 da,8,0.02353
at ,8,0.02353
"n, ",8,0.02353
 he,8,0.02353
 en,7,0.02059
t d,6,0.01765
eer,6,0.01765
egh,6,0.01765
 On,6,0.01765
n d,6,0.01765
t g,6,0.01765
 u ,6,0.01765
an ,6,0.01765
 't,6,0.01765
ken,6,0.01765
gen,6,0.01765
s' ,5,0.01471
 we,5,0.01471
ver,5,0.01471
n. ,5,0.01471
adt,5,0.01471
Ons,5,0.01471
"en,",5,0.01471
 me,5,0.01471
nie,5,0.01471
 al,5,0.01471
ns',5,0.01471
een,5,0.01471
sen,5,0.01471
ns ,5,0.01471
oor,5,0.01471
"h, ",5,0.01471
gh ,5,0.01471
lle,5,0.01471
", e",4,0.01176
n a,4,0.01176
cke,4,0.01176
 st,4,0.01176
aar,4,0.01176
len,4,0.01176
n s,4,0.01176
ck ,4,0.01176
