chars,Nombre d'apparitions,Frequence d'apparition
 si,10,0.04878
ijn,10,0.04878
sij,10,0.04878
n' ,7,0.03415
't ,6,0.02927
en ,6,0.02927
ijd,6,0.02927
en',6,0.02927
et ,6,0.02927
 me,5,0.02439
met,5,0.02439
eer,5,0.02439
lij,5,0.02439
ot ,4,0.01951
eij,4,0.01951
wij,4,0.01951
ij ,4,0.01951
cht,4,0.01951
jn ,4,0.01951
 to,4,0.01951
tot,4,0.01951
Hee,4,0.01951
 He,4,0.01951
 de,4,0.01951
t d,4,0.01951
ges,3,0.01463
jn',3,0.01463
jne,3,0.01463
 be,3,0.01463
 he,3,0.01463
 wi,3,0.01463
j s,3,0.01463
 se,3,0.01463
de ,3,0.01463
at ,3,0.01463
uij,3,0.01463
oor,3,0.01463
 vo,3,0.01463
n t,3,0.01463
in ,3,0.01463
 in,3,0.01463
t i,3,0.01463
 en,3,0.01463
t v,3,0.01463
er ,3,0.01463
rij,2,0.00976
jui,2,0.00976
ijc,2,0.00976
jch,2,0.00976
den,2,0.00976
