chars,Nombre d'apparitions,Frequence d'apparition
"t, ",19,0.05556
en ,17,0.04971
et ,14,0.04094
ijn,11,0.03216
ert,11,0.03216
een,9,0.02632
er ,9,0.02632
der,8,0.02339
sch,8,0.02339
", D",8,0.02339
aer,8,0.02339
jn ,8,0.02339
 de,7,0.02047
"rt,",7,0.02047
at ,7,0.02047
 sc,7,0.02047
 en,7,0.02047
t d,7,0.02047
 ge,7,0.02047
roe,7,0.02047
rst,7,0.02047
es ,6,0.01754
mij,6,0.01754
 mi,6,0.01754
iet,6,0.01754
ere,6,0.01754
ik ,6,0.01754
 he,6,0.01754
", e",6,0.01754
ors,6,0.01754
oor,6,0.01754
n s,6,0.01754
 ik,5,0.01462
t m,5,0.01462
 be,5,0.01462
t: ,5,0.01462
lie,5,0.01462
 ho,5,0.01462
 ee,5,0.01462
ver,5,0.01462
 ve,5,0.01462
"n, ",5,0.01462
 we,5,0.01462
 dr,4,0.0117
eve,4,0.0117
ve ,4,0.0117
or ,4,0.0117
 En,4,0.0117
En ,4,0.0117
t e,4,0.0117
