chars,Nombre d'apparitions,Frequence d'apparition
en ,108,0.09129
er ,60,0.05072
et ,58,0.04903
aer,40,0.03381
ck ,36,0.03043
ver,35,0.02959
 he,28,0.02367
 ve,27,0.02282
"n, ",26,0.02198
 my,25,0.02113
ijn,25,0.02113
n s,23,0.01944
 ge,23,0.01944
"t, ",23,0.01944
 en,22,0.0186
 ha,22,0.0186
"en,",21,0.01775
 ni,21,0.01775
iet,21,0.01775
 de,20,0.01691
 di,20,0.01691
nie,20,0.01691
 da,20,0.01691
cht,20,0.01691
my ,20,0.01691
de ,19,0.01606
den,19,0.01606
jn ,19,0.01606
t d,19,0.01606
ick,19,0.01606
 mi,18,0.01522
mij,17,0.01437
die,17,0.01437
lij,17,0.01437
at ,17,0.01437
ten,17,0.01437
hae,17,0.01437
ven,17,0.01437
n. ,16,0.01352
t v,16,0.01352
eer,16,0.01352
een,16,0.01352
en.,16,0.01352
sch,16,0.01352
 ic,16,0.01352
n d,15,0.01268
ant,15,0.01268
n m,15,0.01268
oor,15,0.01268
n h,15,0.01268
