chars,Nombre d'apparitions,Frequence d'apparition
en ,19,0.06209
eer,13,0.04248
et ,11,0.03595
er ,10,0.03268
"en,",10,0.03268
"n, ",10,0.03268
"t, ",10,0.03268
ere,9,0.02941
ren,9,0.02941
 de,8,0.02614
 en,7,0.02288
es ,7,0.02288
ier,7,0.02288
ees,7,0.02288
lt ,7,0.02288
 wi,6,0.01961
t g,6,0.01961
 gh,6,0.01961
st ,6,0.01961
ter,6,0.01961
 te,6,0.01961
ken,6,0.01961
 so,5,0.01634
aen,5,0.01634
 ee,5,0.01634
ers,5,0.01634
t s,5,0.01634
eug,5,0.01634
ilt,5,0.01634
t v,5,0.01634
en.,4,0.01307
Met,4,0.01307
 Me,4,0.01307
 si,4,0.01307
"ht,",4,0.01307
ght,4,0.01307
ugh,4,0.01307
nt ,4,0.01307
n. ,4,0.01307
ghe,4,0.01307
tee,4,0.01307
oet,4,0.01307
rij,4,0.01307
 vr,4,0.01307
n t,4,0.01307
lij,4,0.01307
ver,4,0.01307
 ve,4,0.01307
", w",4,0.01307
wil,4,0.01307
