chars,Nombre d'apparitions,Frequence d'apparition
en ,86,0.11482
er ,32,0.04272
 de,26,0.03471
aer,23,0.03071
de ,22,0.02937
an ,21,0.02804
et ,21,0.02804
den,18,0.02403
 on,16,0.02136
n d,16,0.02136
ver,16,0.02136
 ge,16,0.02136
 he,16,0.02136
"t, ",15,0.02003
 ve,14,0.01869
 ee,14,0.01869
 He,14,0.01869
eer,14,0.01869
// ,14,0.01869
 va,13,0.01736
 ha,13,0.01736
 te,13,0.01736
ten,13,0.01736
t h,12,0.01602
"n, ",12,0.01602
cht,12,0.01602
 we,12,0.01602
te ,12,0.01602
van,12,0.01602
 da,12,0.01602
and,11,0.01469
een,11,0.01469
n w,11,0.01469
erd,11,0.01469
gen,11,0.01469
n t,10,0.01335
sch,10,0.01335
 do,10,0.01335
", v",10,0.01335
at ,10,0.01335
oet,10,0.01335
 uw,10,0.01335
"d, ",10,0.01335
oed,10,0.01335
nde,9,0.01202
 Da,9,0.01202
ig ,9,0.01202
e s,9,0.01202
 De,9,0.01202
e z,9,0.01202
