chars,Nombre d'apparitions,Frequence d'apparition
en ,31,0.08267
den,13,0.03467
"n, ",13,0.03467
 vv,12,0.032
"t, ",12,0.032
"en,",12,0.032
n d,11,0.02933
 de,10,0.02667
et ,10,0.02667
an ,9,0.024
n v,9,0.024
ghe,9,0.024
hen,8,0.02133
ten,8,0.02133
er ,8,0.02133
t v,7,0.01867
vvi,7,0.01867
 he,7,0.01867
ren,7,0.01867
", E",7,0.01867
lt ,7,0.01867
nt ,7,0.01867
 Wa,7,0.01867
ilt,6,0.016
n. ,6,0.016
en.,6,0.016
aer,6,0.016
cht,6,0.016
hy ,6,0.016
ver,6,0.016
 ve,6,0.016
 gh,6,0.016
der,5,0.01333
ant,5,0.01333
 va,5,0.01333
ck ,5,0.01333
 in,5,0.01333
n l,5,0.01333
ste,5,0.01333
een,5,0.01333
En ,5,0.01333
ijn,5,0.01333
 En,5,0.01333
ere,5,0.01333
t g,5,0.01333
at ,5,0.01333
 da,5,0.01333
uch,5,0.01333
est,5,0.01333
", W",5,0.01333
