chars,Nombre d'apparitions,Frequence d'apparition
en ,34,0.08193
et ,18,0.04337
aar,16,0.03855
an ,14,0.03373
 da,12,0.02892
 me,12,0.02892
"en,",12,0.02892
"n, ",12,0.02892
oor,11,0.02651
men,11,0.02651
 be,11,0.02651
at ,11,0.02651
 zo,10,0.0241
n w,8,0.01928
ele,8,0.01928
t m,8,0.01928
 vo,8,0.01928
voo,8,0.01928
gen,8,0.01928
 Da,7,0.01687
lee,7,0.01687
 ge,7,0.01687
ls ,7,0.01687
t b,7,0.01687
ar ,7,0.01687
efd,6,0.01446
bel,6,0.01446
eef,6,0.01446
een,6,0.01446
waa,6,0.01446
 ee,6,0.01446
er ,6,0.01446
 wa,6,0.01446
 te,6,0.01446
dan,6,0.01446
 en,6,0.01446
n e,6,0.01446
nie,6,0.01446
 ni,6,0.01446
ij ,6,0.01446
te ,6,0.01446
s d,5,0.01205
 mo,5,0.01205
eer,5,0.01205
age,5,0.01205
als,5,0.01205
 he,5,0.01205
dat,5,0.01205
 u ,5,0.01205
 al,5,0.01205
