chars,Nombre d'apparitions,Frequence d'apparition
en ,9,0.04712
et ,7,0.03665
"n, ",6,0.03141
oor,6,0.03141
gen,6,0.03141
aar,5,0.02618
 he,5,0.02618
er ,5,0.02618
 ge,5,0.02618
nge,5,0.02618
lie,4,0.02094
iet,4,0.02094
nie,4,0.02094
or ,4,0.02094
 be,4,0.02094
"t, ",4,0.02094
"en,",4,0.02094
eer,4,0.02094
y m,4,0.02094
t g,4,0.02094
sch,4,0.02094
ter,4,0.02094
r u,3,0.01571
nt ,3,0.01571
 ni,3,0.01571
 Vo,3,0.01571
ing,3,0.01571
eur,3,0.01571
van,3,0.01571
voo,3,0.01571
 vo,3,0.01571
n? ,3,0.01571
 en,3,0.01571
 li,3,0.01571
een,3,0.01571
bee,3,0.01571
", V",3,0.01571
 ee,3,0.01571
 te,3,0.01571
het,3,0.01571
oon,3,0.01571
 uw,3,0.01571
 Na,3,0.01571
ief,3,0.01571
ren,3,0.01571
ere,3,0.01571
 me,3,0.01571
gy ,3,0.01571
 gy,3,0.01571
 u ,3,0.01571
