chars,Nombre d'apparitions,Frequence d'apparition
en ,28,0.07388
"e, ",17,0.04485
"en,",16,0.04222
"n, ",16,0.04222
er ,14,0.03694
eer,13,0.0343
et ,12,0.03166
ees,11,0.02902
lij,10,0.02639
ghe,9,0.02375
ijc,8,0.02111
cht,8,0.02111
te ,8,0.02111
 te,7,0.01847
der,7,0.01847
 on,7,0.01847
"t, ",7,0.01847
uch,6,0.01583
ten,6,0.01583
eve,6,0.01583
 de,6,0.01583
n d,6,0.01583
 be,6,0.01583
eyt,6,0.01583
ing,6,0.01583
jck,6,0.01583
aer,6,0.01583
nie,6,0.01583
 ni,6,0.01583
t n,6,0.01583
est,6,0.01583
ene,6,0.01583
eli,6,0.01583
"ck,",5,0.01319
hey,5,0.01319
ich,5,0.01319
", D",5,0.01319
sch,5,0.01319
lee,5,0.01319
ns ,5,0.01319
"k, ",5,0.01319
iet,5,0.01319
tel,5,0.01319
nee,5,0.01319
ch ,5,0.01319
 we,5,0.01319
ers,5,0.01319
"ne,",5,0.01319
", I",5,0.01319
pen,5,0.01319
