chars,Nombre d'apparitions,Frequence d'apparition
en ,25,0.0641
"n, ",22,0.05641
et ,18,0.04615
"en,",18,0.04615
 on,14,0.0359
er ,12,0.03077
 de,11,0.02821
ons,9,0.02308
ns ,9,0.02308
 za,9,0.02308
gen,9,0.02308
't ,8,0.02051
de ,8,0.02051
t; ,8,0.02051
iet,8,0.02051
 't,8,0.02051
aan,8,0.02051
 me,8,0.02051
der,7,0.01795
 st,7,0.01795
agt,7,0.01795
t d,6,0.01538
ste,6,0.01538
nie,6,0.01538
 ni,6,0.01538
 ge,6,0.01538
 uw,6,0.01538
n w,6,0.01538
"d, ",6,0.01538
 do,6,0.01538
ten,6,0.01538
cht,6,0.01538
aar,6,0.01538
zal,5,0.01282
t. ,5,0.01282
in ,5,0.01282
 di,5,0.01282
ch ,5,0.01282
ree,5,0.01282
pre,5,0.01282
al ,5,0.01282
 Ge,5,0.01282
een,5,0.01282
nde,5,0.01282
ar ,5,0.01282
s n,5,0.01282
eer,5,0.01282
t o,5,0.01282
 he,5,0.01282
sch,5,0.01282
