chars,Nombre d'apparitions,Frequence d'apparition
en ,36,0.14173
er ,12,0.04724
aer,9,0.03543
ten,8,0.0315
 ge,7,0.02756
"en,",6,0.02362
"n, ",6,0.02362
gen,6,0.02362
 En,6,0.02362
En ,6,0.02362
hae,5,0.01969
 ha,5,0.01969
lle,5,0.01969
 di,5,0.01969
ich,5,0.01969
n s,5,0.01969
 uw,5,0.01969
cht,5,0.01969
nt ,4,0.01575
de ,4,0.01575
eft,4,0.01575
eef,4,0.01575
sen,4,0.01575
ren,4,0.01575
n a,4,0.01575
t g,4,0.01575
r d,4,0.01575
", E",4,0.01575
t u,4,0.01575
len,4,0.01575
e d,4,0.01575
ons,4,0.01575
 on,4,0.01575
ege,4,0.01575
aet,3,0.01181
ven,3,0.01181
 he,3,0.01181
lij,3,0.01181
 be,3,0.01181
aen,3,0.01181
et ,3,0.01181
 se,3,0.01181
lae,3,0.01181
n l,3,0.01181
ove,3,0.01181
dae,3,0.01181
 da,3,0.01181
uw ,3,0.01181
ns ,3,0.01181
der,3,0.01181
