POS,Nombre d'apparitions,Frequence d'apparition
n(sing),72,0.17021
adp(),39,0.0922
v(infin),30,0.07092
adv(gener),28,0.06619
"v(fin,pres,aux_cop)",26,0.06147
pron(poss),23,0.05437
adj(),21,0.04965
"v(fin,pres,lex)",19,0.04492
conj(coord),17,0.04019
"pron(pers,1,sing)",16,0.03783
adv(neg),13,0.03073
"pron(pers,2,plu)",12,0.02837
"pron(pers,3,sing)",10,0.02364
art(indef),9,0.02128
"v(participle,past)",8,0.01891
art(def),8,0.01891
n(plu),7,0.01655
n(prop),7,0.01655
pron(indef),6,0.01418
punc(hyphen),5,0.01182
"v(fin,past,aux_cop)",4,0.00946
pron(rel),3,0.00709
adv(dem),3,0.00709
conj(subord),3,0.00709
"pron(pers,2,sing)",3,0.00709
"pron(pers,3,sing)+v(fin,pres,aux_cop)",3,0.00709
conj(comp),3,0.00709
pron(dem),3,0.00709
v(imp),3,0.00709
punc(quest),2,0.00473
interj(),2,0.00473
misc(latin),2,0.00473
"pron(pers,3,plu)",2,0.00473
punc(comma),1,0.00236
num(ord),1,0.00236
adv(resum),1,0.00236
art(def)+conj(coord),1,0.00236
"v(infin,subs)",1,0.00236
punc(excl),1,0.00236
v(prtcl),1,0.00236
pronadv(rel),1,0.00236
pronadv(dem),1,0.00236
"pron(pers,3,sing)+pron(pers,3,sing)",1,0.00236
art(indef)+adp(),1,0.00236
