POS,Nombre d'apparitions,Frequence d'apparition
n(sing),26,0.17568
adp(),13,0.08784
adv(gener),12,0.08108
conj(coord),10,0.06757
"v(fin,pres,lex)",9,0.06081
"pron(pers,1,sing)",7,0.0473
adj(),7,0.0473
art(def),6,0.04054
pron(poss),5,0.03378
"v(fin,pres,aux_cop)",5,0.03378
n(prop),5,0.03378
"v(participle,past)",5,0.03378
v(imp),4,0.02703
n(plu),4,0.02703
"pron(pers,2,plu)",4,0.02703
pron(dem),4,0.02703
conj(subord),3,0.02027
"pron(pers,3,sing)",3,0.02027
num(indef),3,0.02027
adv(neg),2,0.01351
"pron(refl,3,sing)",2,0.01351
pron(rel),2,0.01351
"pron(pers,3,sing)+pron(pers,1,sing)+v(fin,pres,lex)",1,0.00676
art(indef),1,0.00676
adv(inter),1,0.00676
v(infin),1,0.00676
"v(fin,pres,lex)+pron(indef)",1,0.00676
adv(resum),1,0.00676
v(prtcl),1,0.00676
