POS,Nombre d'apparitions,Frequence d'apparition
n(sing),51,0.16346
adv(gener),22,0.07051
adp(),22,0.07051
punc(quest),20,0.0641
adj(),19,0.0609
conj(coord),19,0.0609
pron(poss),14,0.04487
"pron(pers,1,sing)",12,0.03846
v(imp),11,0.03526
"v(fin,pres,lex)",11,0.03526
"pron(pers,2,sing)",11,0.03526
"v(fin,pres,aux_cop)",10,0.03205
v(infin),9,0.02885
art(def),7,0.02244
"v(participle,past)",6,0.01923
adv(neg),6,0.01923
interj(),5,0.01603
adv(resum),5,0.01603
n(plu),4,0.01282
adv(),4,0.01282
pron(rel),3,0.00962
"v(fin,past,aux_cop)",3,0.00962
misc(),3,0.00962
pron(dem),3,0.00962
num(indef),3,0.00962
conj(comp),2,0.00641
pron(inter),2,0.00641
pron(rel)+pronadv(pers),2,0.00641
n(prop),2,0.00641
conj(subord),2,0.00641
"pron(pers,2,plu)",2,0.00641
pron(indef),2,0.00641
art(indef),2,0.00641
pronadv(rel),1,0.00321
"pron(pers,2,sing)+pron(pers,3,sing)",1,0.00321
"pron(pers,3,sing)+pron(indef)+conj(subord)",1,0.00321
adv(inter),1,0.00321
"conj(coord)+pron(pers,3,sing)",1,0.00321
num(card),1,0.00321
"v(fin,past,lex)",1,0.00321
adv(indef),1,0.00321
"pron(pers,1,plu)",1,0.00321
art(def)+num(card),1,0.00321
art(def)+adj(),1,0.00321
art(def)+n(sing),1,0.00321
v(prtcl),1,0.00321
