POS,Nombre d'apparitions,Frequence d'apparition
n(sing),50,0.11364
adp(),42,0.09545
v(infin),33,0.075
"v(fin,pres,lex)",32,0.07273
adv(gener),29,0.06591
"v(fin,pres,aux_cop)",25,0.05682
conj(coord),23,0.05227
pron(poss),17,0.03864
n(plu),16,0.03636
adj(),15,0.03409
"pron(pers,3,sing)",14,0.03182
conj(subord),13,0.02955
"pron(pers,2,sing)",12,0.02727
adv(neg),12,0.02727
"v(participle,past)",12,0.02727
pron(indef),11,0.025
art(indef),10,0.02273
art(def),9,0.02045
num(indef),8,0.01818
v(imp),7,0.01591
pron(dem),6,0.01364
"pron(pers,2,plu)",5,0.01136
pron(rel),3,0.00682
"pron(pers,1,plu)",3,0.00682
"v(fin,past,lex)",3,0.00682
interj(),3,0.00682
pronadv(dem),2,0.00455
pronadv(prep),2,0.00455
"pron(pers,1,sing)",2,0.00455
"pron(refl,2,sing)",2,0.00455
adv(dem),1,0.00227
"pron(pers,3,sing)+pron(indef)",1,0.00227
"pron(poss,2,sing)",1,0.00227
n(prop),1,0.00227
"v(participle,pres)",1,0.00227
"v(fin,pres,lex)+pron(pers,3,plu)",1,0.00227
"v(fin,pres,aux_cop)+pron(indef)",1,0.00227
"pronadv(pers)+v(fin,pres,lex)",1,0.00227
pron(indef)+adp(),1,0.00227
adv(inter),1,0.00227
misc(),1,0.00227
conj(comp),1,0.00227
"pron(refl,3,plu)",1,0.00227
punc(quest),1,0.00227
"pron(pers,3,plu)",1,0.00227
num(ord),1,0.00227
"v(fin,past,aux_cop)",1,0.00227
"v(fin,pres,aux_cop)+pron(pers,3,sing)",1,0.00227
adp()+art(def),1,0.00227
