POS,Nombre d'apparitions,Frequence d'apparition
n(sing),34,0.13934
adp(),22,0.09016
adj(),18,0.07377
adv(gener),17,0.06967
"pron(pers,3,sing)",16,0.06557
v(infin),14,0.05738
conj(coord),12,0.04918
"v(fin,pres,aux_cop)",12,0.04918
"v(fin,pres,lex)",10,0.04098
n(plu),10,0.04098
art(def),9,0.03689
"pron(pers,2,plu)",6,0.02459
pron(poss),6,0.02459
interj(),5,0.02049
adv(neg),5,0.02049
art(indef),5,0.02049
conj(subord),4,0.01639
"v(fin,past,lex)",4,0.01639
"v(participle,past)",4,0.01639
v(imp),4,0.01639
misc(),3,0.0123
num(indef),3,0.0123
n(prop),3,0.0123
adv(dem),3,0.0123
art(def)+n(sing),1,0.0041
punc(quest),1,0.0041
pron(dem),1,0.0041
pronadv(rel),1,0.0041
adv(inter),1,0.0041
"pronadv(pers)+v(fin,pres,aux_cop)",1,0.0041
pronadv(dem),1,0.0041
"pron(pers,3,plu)",1,0.0041
"pron(pers,2,sing)",1,0.0041
adp()+art(def),1,0.0041
v(prtcl),1,0.0041
pron(indef),1,0.0041
"v(fin,past,aux_cop)",1,0.0041
pron(rel),1,0.0041
"pron(pers,1,plu)",1,0.0041
