POS,Nombre d'apparitions,Frequence d'apparition
n(sing),28,0.18919
adp(),13,0.08784
"v(fin,pres,aux_cop)",10,0.06757
pron(poss),10,0.06757
n(prop),9,0.06081
adj(),8,0.05405
"pron(pers,1,sing)",7,0.0473
art(indef),6,0.04054
"v(participle,past)",5,0.03378
v(infin),5,0.03378
adv(neg),5,0.03378
adv(gener),4,0.02703
art(def),4,0.02703
conj(coord),4,0.02703
misc(),4,0.02703
"v(fin,pres,lex)",3,0.02027
"pron(pers,2,plu)",3,0.02027
n(plu),2,0.01351
"pron(pers,3,sing)",2,0.01351
"v(fin,past,lex)",2,0.01351
pron(rel),2,0.01351
num(indef),2,0.01351
"pron(pers,3,plu)",2,0.01351
interj(),2,0.01351
v(imp),1,0.00676
conj(subord),1,0.00676
adv(inter),1,0.00676
"v(fin,past,aux_cop)",1,0.00676
pron(indef),1,0.00676
num(ord),1,0.00676
