POS,Nombre d'apparitions,Frequence d'apparition
n(sing),99,0.1584
adp(),59,0.0944
"pron(pers,1,sing)",51,0.0816
adv(gener),46,0.0736
"v(fin,pres,lex)",36,0.0576
pron(poss),36,0.0576
v(infin),35,0.056
"v(fin,pres,aux_cop)",29,0.0464
adj(),29,0.0464
conj(coord),24,0.0384
adv(neg),14,0.0224
"v(participle,past)",12,0.0192
"pron(pers,3,sing)",10,0.016
art(indef),10,0.016
v(imp),9,0.0144
adv(dem),9,0.0144
n(plu),8,0.0128
"pron(pers,2,plu)",8,0.0128
art(def),8,0.0128
num(indef),7,0.0112
conj(subord),7,0.0112
interj(),7,0.0112
n(prop),6,0.0096
"v(fin,past,aux_cop)",6,0.0096
pron(dem),5,0.008
"pron(pers,2,sing)",5,0.008
pronadv(rel),5,0.008
art(def)+n(sing),4,0.0064
conj(comp),4,0.0064
"pron(pers,3,sing)+v(fin,pres,aux_cop)",4,0.0064
"pron(pers,3,plu)",4,0.0064
pron(indef),3,0.0048
pronadv(dem),3,0.0048
pron(rel),2,0.0032
"v(fin,pres,aux_cop)+pron(pers,3,sing)",2,0.0032
"v(fin,past,lex)",2,0.0032
adv(inter),2,0.0032
misc(),2,0.0032
pron(indef)+adp(),1,0.0016
n(sing)+art(def),1,0.0016
art(def)+adp(),1,0.0016
adv(resum),1,0.0016
art(def)+pron(dem),1,0.0016
pron(inter),1,0.0016
"pron(indef)+v(fin,pres,lex)",1,0.0016
"v(fin,past,aux_cop)+pron(pers,3,sing)",1,0.0016
pronadv(prep),1,0.0016
adv(indef),1,0.0016
"v(fin,pres,lex)+pron(dem)",1,0.0016
"pron(pers,3,sing)+pron(pers,3,sing)",1,0.0016
"adv(neg)+v(fin,pres,aux_cop)",1,0.0016
