POS,Nombre d'apparitions,Frequence d'apparition
n(sing),33,0.15865
adv(gener),18,0.08654
conj(coord),15,0.07212
"v(fin,pres,lex)",13,0.0625
adj(),12,0.05769
"v(fin,pres,aux_cop)",11,0.05288
pron(poss),11,0.05288
adp(),9,0.04327
num(indef),8,0.03846
"v(participle,past)",7,0.03365
v(infin),7,0.03365
n(plu),6,0.02885
art(def),6,0.02885
pron(indef),5,0.02404
pron(dem),5,0.02404
art(indef),4,0.01923
"pron(pers,3,sing)",4,0.01923
n(prop),4,0.01923
adv(neg),4,0.01923
"pron(pers,2,plu)",3,0.01442
"v(fin,past,aux_cop)",3,0.01442
conj(comp),2,0.00962
v(imp),2,0.00962
adv(resum),2,0.00962
num(card),2,0.00962
conj(subord),1,0.00481
"v(fin,past,lex)",1,0.00481
"pron(pers,3,sing)+v(fin,pres,aux_cop)",1,0.00481
pron(rel),1,0.00481
"pron(pers,1,plu)",1,0.00481
n(sing)+art(def),1,0.00481
"pron(refl,2,sing)",1,0.00481
adv(dem),1,0.00481
"conj(subord)+pron(pers,3,sing)",1,0.00481
adv(inter),1,0.00481
interj(),1,0.00481
"v(participle,pres)",1,0.00481
