POS,Nombre d'apparitions,Frequence d'apparition
n(sing),115,0.17319
punc(quest),56,0.08434
adp(),49,0.0738
adv(gener),38,0.05723
v(infin),38,0.05723
adj(),36,0.05422
conj(coord),34,0.0512
"v(fin,pres,lex)",31,0.04669
"v(fin,pres,aux_cop)",23,0.03464
"v(participle,past)",19,0.02861
pron(poss),18,0.02711
art(def),16,0.0241
adv(neg),15,0.02259
n(plu),14,0.02108
v(imp),14,0.02108
adv(dem),13,0.01958
pron(indef),12,0.01807
"pron(pers,2,sing)",10,0.01506
art(indef),9,0.01355
"pron(pers,3,sing)",9,0.01355
art(def)+n(sing),8,0.01205
"pron(pers,1,plu)",7,0.01054
"pron(pers,1,sing)",7,0.01054
n(prop),5,0.00753
conj(subord),5,0.00753
art(def)+adp(),5,0.00753
adv(),4,0.00602
adv(resum),4,0.00602
num(card),4,0.00602
conj(comp),4,0.00602
misc(),3,0.00452
"v(fin,past,lex)",3,0.00452
pron(dem),3,0.00452
pronadv(rel),2,0.00301
"pron(pers,3,plu)",2,0.00301
v(prtcl),2,0.00301
"v(infin,subs)",2,0.00301
pron(rel),2,0.00301
interj(),2,0.00301
"pron(refl,2,sing)",2,0.00301
"pron(pers,3,sing)+v(fin,pres,aux_cop)",2,0.00301
pronadv(prep),1,0.00151
"v(fin,past,aux_cop)",1,0.00151
art(def)+adj(),1,0.00151
punc(semicolon),1,0.00151
adv(inter),1,0.00151
"v(fin,pres,lex)+pron(pers,2,sing)",1,0.00151
"v(fin,pres,aux_cop)+pron(pers,3,sing)",1,0.00151
"pron(refl,1,plu)",1,0.00151
num(card)+n(plu),1,0.00151
conj(subord)+pron(indef),1,0.00151
adp()+art(def),1,0.00151
n(sing)+art(def),1,0.00151
adj(sing),1,0.00151
punc(hyphen),1,0.00151
adv(indef),1,0.00151
pronadv(dem),1,0.00151
"pron(pers,2,plu)",1,0.00151
