POS,Nombre d'apparitions,Frequence d'apparition
n(sing),69,0.20117
adj(),34,0.09913
adp(),29,0.08455
conj(coord),20,0.05831
"v(fin,pres,aux_cop)",19,0.05539
pron(poss),16,0.04665
"v(fin,pres,lex)",16,0.04665
adv(gener),15,0.04373
n(prop),14,0.04082
v(infin),13,0.0379
art(def),11,0.03207
n(plu),11,0.03207
"v(participle,past)",10,0.02915
"pron(pers,1,plu)",9,0.02624
num(indef),9,0.02624
adv(neg),6,0.01749
"pron(pers,3,sing)",6,0.01749
pron(rel),5,0.01458
art(indef),5,0.01458
"pron(pers,1,sing)",4,0.01166
adv(dem),3,0.00875
pron(dem),2,0.00583
conj(subord),2,0.00583
v(imp),2,0.00583
"pron(pers,2,sing)",2,0.00583
"pron(pers,2,plu)",2,0.00583
"pron(pers,3,sing)+v(fin,pres,aux_cop)",1,0.00292
misc(),1,0.00292
"v(fin,past,lex)",1,0.00292
pron(indef),1,0.00292
art(def)+adp(),1,0.00292
adv(indef),1,0.00292
adp()+pron(poss),1,0.00292
punc(quest),1,0.00292
"pron(pers,3,sing)+pron(pers,3,sing)",1,0.00292
