POS,Nombre d'apparitions,Frequence d'apparition
n(sing),56,0.18983
adv(gener),33,0.11186
adp(),21,0.07119
v(infin),19,0.06441
conj(coord),16,0.05424
"v(fin,pres,aux_cop)",15,0.05085
"v(participle,past)",12,0.04068
"pron(pers,3,sing)",11,0.03729
adj(),11,0.03729
"v(fin,pres,lex)",10,0.0339
art(indef),10,0.0339
art(def),9,0.03051
n(prop),8,0.02712
pron(poss),7,0.02373
n(plu),6,0.02034
art(def)+n(sing),5,0.01695
pron(rel),5,0.01695
pron(indef),4,0.01356
adv(indef),4,0.01356
adv(neg),3,0.01017
conj(subord),3,0.01017
conj(comp),3,0.01017
adv(resum),3,0.01017
"v(fin,pres,aux_cop)+pron(pers,3,plu)",2,0.00678
num(indef),2,0.00678
pronadv(dem),2,0.00678
adv(dem),2,0.00678
adj()+n(sing),1,0.00339
"pron(indef)+v(fin,pres,aux_cop)",1,0.00339
"v(infin)+pron(pers,3,sing)",1,0.00339
adp()+art(def),1,0.00339
art(def)+adj()+n(sing),1,0.00339
pron(inter),1,0.00339
"v(fin,past,aux_cop)",1,0.00339
"v(fin,past,lex)+pron(indef)",1,0.00339
art(def)+adj(),1,0.00339
pronadv(rel),1,0.00339
"adv(neg)+v(fin,pres,aux_cop)",1,0.00339
"v(fin,pres,lex)+pron(pers,3,plu)",1,0.00339
pron(dem),1,0.00339
