POS,Nombre d'apparitions,Frequence d'apparition
n(sing),17,0.20238
conj(coord),10,0.11905
"v(fin,pres,lex)",8,0.09524
adv(gener),5,0.05952
"pron(pers,1,sing)",5,0.05952
adp(),4,0.04762
pron(poss),4,0.04762
n(prop),3,0.03571
n(plu),3,0.03571
adj(),3,0.03571
v(infin),3,0.03571
num(indef),2,0.02381
"pron(pers,3,plu)",2,0.02381
pron(rel),2,0.02381
art(def),2,0.02381
adv(dem),1,0.0119
"pron(pers,3,sing)",1,0.0119
pronadv(rel),1,0.0119
"v(fin,pres,aux_cop)",1,0.0119
n(sing)+art(def),1,0.0119
interj(),1,0.0119
"v(fin,past,aux_cop)",1,0.0119
art(indef),1,0.0119
pron(dem),1,0.0119
pron(indef),1,0.0119
"pron(pers,1,sing)+adv(neg)",1,0.0119
