POS,Nombre d'apparitions,Frequence d'apparition
n(sing),22,0.22917
art(def),6,0.0625
adv(gener),6,0.0625
art(indef),5,0.05208
"pron(pers,1,sing)",5,0.05208
pron(poss),5,0.05208
adp(),4,0.04167
conj(coord),4,0.04167
"v(fin,pres,aux_cop)",4,0.04167
n(prop),4,0.04167
punc(hyphen),3,0.03125
"pron(pers,2,plu)",3,0.03125
"v(fin,pres,lex)",3,0.03125
misc(),3,0.03125
adj(),3,0.03125
"v(fin,past,aux_cop)",2,0.02083
pron(dem),2,0.02083
v(imp),2,0.02083
adv(neg),2,0.02083
n(plu),1,0.01042
art(def)+adj(),1,0.01042
v(infin),1,0.01042
punc(gcomma),1,0.01042
"v(fin,past,lex)",1,0.01042
"v(participle,past)",1,0.01042
num(indef),1,0.01042
num(card),1,0.01042
