POS,Nombre d'apparitions,Frequence d'apparition
n(sing),24,0.18462
pron(poss),10,0.07692
"v(fin,pres,lex)",9,0.06923
adv(gener),8,0.06154
n(prop),7,0.05385
conj(coord),6,0.04615
adp(),6,0.04615
adv(neg),5,0.03846
"pron(pers,2,plu)",5,0.03846
"pron(pers,1,sing)",5,0.03846
art(def),4,0.03077
v(imp),4,0.03077
"v(fin,pres,aux_cop)",4,0.03077
conj(subord),4,0.03077
v(infin),3,0.02308
adj(),3,0.02308
adv(dem),3,0.02308
"pron(pers,2,sing)",2,0.01538
interj(),2,0.01538
"v(fin,past,lex)",2,0.01538
conj(comp),1,0.00769
pron(inter),1,0.00769
art(def)+n(sing),1,0.00769
"pron(pers,3,sing)",1,0.00769
pron(rel),1,0.00769
pron(indef),1,0.00769
num(indef),1,0.00769
"v(participle,past)",1,0.00769
"pron(indef)+v(fin,pres,aux_cop)+pron(pers,3,sing)",1,0.00769
n(plu),1,0.00769
pronadv(rel),1,0.00769
pron(dem),1,0.00769
"pron(pers,1,plu)",1,0.00769
"pron(pers,3,plu)",1,0.00769
