POS,Nombre d'apparitions,Frequence d'apparition
n(sing),40,0.20619
pron(poss),17,0.08763
adp(),14,0.07216
adv(gener),10,0.05155
conj(coord),10,0.05155
"pron(pers,1,sing)",9,0.04639
v(infin),9,0.04639
"v(fin,pres,lex)",9,0.04639
adj(),7,0.03608
art(def),5,0.02577
adv(neg),5,0.02577
"v(fin,pres,aux_cop)",5,0.02577
"v(participle,past)",5,0.02577
pron(indef),4,0.02062
"v(fin,past,aux_cop)",4,0.02062
conj(subord),4,0.02062
"pron(pers,3,sing)",3,0.01546
"v(fin,past,lex)",3,0.01546
pron(rel),3,0.01546
n(prop),3,0.01546
pron(dem),2,0.01031
art(indef),2,0.01031
adv(resum),2,0.01031
v(imp),2,0.01031
interj(),2,0.01031
n(plu),2,0.01031
"pron(pers,2,plu)",2,0.01031
misc(),1,0.00515
"v(participle,pres)",1,0.00515
"conj(subord)+pron(pers,3,sing)",1,0.00515
"pron(pers,3,plu)",1,0.00515
num(indef),1,0.00515
adv(dem),1,0.00515
"pron(pers,3,sing)+adv(inter)",1,0.00515
"pron(pers,3,sing)+interj()",1,0.00515
"v(fin,past,lex)+pron(pers,3,sing)",1,0.00515
conj(comp),1,0.00515
"pron(pers,2,sing)+pron(pers,3,sing)",1,0.00515
