POS,Nombre d'apparitions,Frequence d'apparition
n(sing),49,0.18846
adp(),21,0.08077
"v(fin,pres,lex)",18,0.06923
conj(coord),18,0.06923
adv(gener),14,0.05385
pron(poss),14,0.05385
"v(participle,past)",13,0.05
adj(),11,0.04231
"pron(pers,1,plu)",11,0.04231
"v(fin,pres,aux_cop)",10,0.03846
n(plu),9,0.03462
v(infin),8,0.03077
n(prop),7,0.02692
"pron(pers,2,sing)",7,0.02692
"pron(pers,3,sing)",5,0.01923
art(def),5,0.01923
v(imp),5,0.01923
adv(neg),5,0.01923
art(indef),4,0.01538
adv(dem),4,0.01538
"pron(pers,2,plu)",3,0.01154
punc(quest),3,0.01154
conj(subord),3,0.01154
pron(dem),2,0.00769
v(prtcl),2,0.00769
adp()+art(def),1,0.00385
adv(resum),1,0.00385
art(def)+n(sing),1,0.00385
pron(rel),1,0.00385
interj(),1,0.00385
conj(comp),1,0.00385
"v(fin,past,aux_cop)",1,0.00385
adv(indef),1,0.00385
misc(),1,0.00385
