POS,Nombre d'apparitions,Frequence d'apparition
n(sing),61,0.18209
"v(fin,pres,lex)",28,0.08358
adp(),26,0.07761
punc(quest),23,0.06866
adj(),22,0.06567
"pron(pers,2,sing)",19,0.05672
conj(coord),13,0.03881
adv(neg),12,0.03582
adv(gener),12,0.03582
"v(participle,past)",11,0.03284
conj(subord),11,0.03284
v(imp),10,0.02985
v(infin),9,0.02687
art(indef),8,0.02388
art(def),7,0.0209
art(def)+adp(),6,0.01791
pron(indef),6,0.01791
"v(fin,pres,aux_cop)",5,0.01493
"pron(pers,3,sing)",4,0.01194
pron(dem),4,0.01194
n(plu),3,0.00896
adp()+art(def),3,0.00896
pron(poss),3,0.00896
"v(participle,pres)",2,0.00597
"pron(refl,3,sing)",2,0.00597
pron(rel),2,0.00597
"pron(refl,2,plu)",2,0.00597
adv(resum),2,0.00597
conj(comp),2,0.00597
n(prop),2,0.00597
adv(),2,0.00597
adv(dem),2,0.00597
"v(fin,pres,aux_cop)+pron(pers,2,sing)",1,0.00299
"pron(pers,3,sing)+adv(resum)",1,0.00299
pronadv(dem),1,0.00299
num(indef),1,0.00299
num(card),1,0.00299
"pron(pers,2,plu)",1,0.00299
"v(fin,pres,lex)+pron(pers,3,plu)",1,0.00299
"pron(pers,3,sing)+pron(pers,3,sing)",1,0.00299
"pron(poss,3,sing)",1,0.00299
v(prtcl),1,0.00299
punc(semicolon),1,0.00299
