POS,Nombre d'apparitions,Frequence d'apparition
n(sing),34,0.17708
"v(fin,pres,lex)",18,0.09375
"v(fin,pres,aux_cop)",16,0.08333
adv(gener),14,0.07292
adj(),14,0.07292
adp(),13,0.06771
pron(poss),8,0.04167
"pron(pers,3,sing)",7,0.03646
conj(coord),6,0.03125
v(infin),6,0.03125
n(plu),6,0.03125
art(indef),5,0.02604
art(def),5,0.02604
conj(subord),5,0.02604
pron(indef),5,0.02604
adv(neg),4,0.02083
"v(participle,past)",3,0.01562
"v(fin,past,aux_cop)",2,0.01042
"pron(pers,3,plu)",2,0.01042
"pron(refl,3,sing)",2,0.01042
n(prop),2,0.01042
adv(dem),2,0.01042
"pron(pers,2,plu)",1,0.00521
pronadv(rel),1,0.00521
v(imp),1,0.00521
adp()+art(def),1,0.00521
"pron(pers,1,sing)",1,0.00521
num(indef),1,0.00521
"pron(pers,2,sing)",1,0.00521
pron(rel),1,0.00521
"art(def)+v(fin,pres,lex)",1,0.00521
art(def)+adp(),1,0.00521
adv(resum),1,0.00521
pron(dem),1,0.00521
pron(inter),1,0.00521
