POS,Nombre d'apparitions,Frequence d'apparition
n(sing),55,0.20599
adp(),22,0.0824
"v(fin,pres,lex)",21,0.07865
conj(coord),16,0.05993
adv(gener),15,0.05618
"pron(pers,1,sing)",14,0.05243
adj(),12,0.04494
pron(poss),11,0.0412
"v(fin,pres,aux_cop)",10,0.03745
"pron(pers,2,plu)",9,0.03371
v(infin),8,0.02996
interj(),6,0.02247
adv(neg),6,0.02247
pron(rel),6,0.02247
art(def),5,0.01873
"v(participle,past)",5,0.01873
adv(inter),4,0.01498
adv(dem),4,0.01498
v(imp),3,0.01124
misc(),3,0.01124
pron(dem),3,0.01124
n(prop),3,0.01124
"pron(pers,2,sing)",3,0.01124
art(indef),3,0.01124
"pron(pers,3,sing)",2,0.00749
n(plu),2,0.00749
"pron(refl,2,plu)",2,0.00749
conj(subord),2,0.00749
art(indef)+n(sing),1,0.00375
"v(fin,past,lex)",1,0.00375
"pron(pers,3,sing)+v(fin,pres,aux_cop)",1,0.00375
"v(fin,past,aux_cop)",1,0.00375
"pron(pers,1,plu)",1,0.00375
num(indef),1,0.00375
"v(participle,pres)",1,0.00375
pron(inter),1,0.00375
adv(resum),1,0.00375
conj(comp),1,0.00375
art(def)+adj(),1,0.00375
pronadv(dem),1,0.00375
