POS,Nombre d'apparitions,Frequence d'apparition
n(sing),43,0.30714
adp(),15,0.10714
conj(coord),12,0.08571
"v(fin,pres,lex)",12,0.08571
art(def),6,0.04286
pron(poss),6,0.04286
"v(participle,past)",5,0.03571
"pron(pers,3,sing)",5,0.03571
art(indef),5,0.03571
v(infin),3,0.02143
"pron(pers,2,plu)",3,0.02143
adj(),3,0.02143
adv(gener),2,0.01429
pron(dem),2,0.01429
n(prop),2,0.01429
art(def)+n(sing),1,0.00714
pronadv(rel),1,0.00714
pron(indef),1,0.00714
num(card),1,0.00714
conj(subord)+pron(indef),1,0.00714
adv(resum),1,0.00714
adv(neg),1,0.00714
"pron(pers,3,plu)",1,0.00714
"pron(pers,2,sing)",1,0.00714
pron(rel),1,0.00714
pronadv(dem),1,0.00714
interj(),1,0.00714
v(imp),1,0.00714
misc(),1,0.00714
pronadv(prep),1,0.00714
"v(fin,pres,aux_cop)",1,0.00714
