POS,Nombre d'apparitions,Frequence d'apparition
n(sing),22,0.17054
adp(),15,0.11628
adv(gener),13,0.10078
v(infin),10,0.07752
"pron(pers,3,sing)",9,0.06977
pron(poss),9,0.06977
"v(fin,pres,aux_cop)",8,0.06202
adj(),6,0.04651
"pron(pers,1,plu)",5,0.03876
adv(neg),3,0.02326
"v(participle,past)",3,0.02326
"v(fin,pres,lex)",3,0.02326
v(imp),2,0.0155
n(prop),2,0.0155
pron(dem),2,0.0155
pron(rel),2,0.0155
"v(fin,past,lex)",2,0.0155
conj(coord),2,0.0155
"v(fin,past,aux_cop)",1,0.00775
art(indef),1,0.00775
conj(subord),1,0.00775
"pron(pers,3,sing)+conj(subord)",1,0.00775
pron(indef),1,0.00775
"pron(pers,3,sing)+v(fin,past,lex)",1,0.00775
art(def),1,0.00775
pron(inter),1,0.00775
n(plu),1,0.00775
num(indef),1,0.00775
adv(dem),1,0.00775
