POS,Nombre d'apparitions,Frequence d'apparition
n(sing),37,0.21143
adj(),12,0.06857
adp(),12,0.06857
n(prop),10,0.05714
conj(coord),10,0.05714
pron(poss),10,0.05714
art(def),10,0.05714
adv(gener),7,0.04
"v(fin,pres,aux_cop)",7,0.04
art(indef),6,0.03429
"pron(pers,2,plu)",5,0.02857
"pron(pers,1,sing)",5,0.02857
"v(fin,past,lex)",5,0.02857
"v(participle,past)",4,0.02286
"v(fin,pres,lex)",4,0.02286
v(infin),4,0.02286
adv(neg),3,0.01714
"pron(pers,3,sing)",3,0.01714
pron(rel),2,0.01143
conj(subord),2,0.01143
n(plu),2,0.01143
pronadv(rel),2,0.01143
num(card),2,0.01143
v(imp),1,0.00571
num(indef),1,0.00571
"pron(pers,2,sing)",1,0.00571
pron(dem),1,0.00571
punc(quest),1,0.00571
interj(),1,0.00571
adv(dem),1,0.00571
"v(fin,past,aux_cop)",1,0.00571
"pron(pers,3,plu)",1,0.00571
conj(comp),1,0.00571
adv(inter),1,0.00571
