POS,Nombre d'apparitions,Frequence d'apparition
n(sing),38,0.22892
adp(),16,0.09639
"v(fin,pres,lex)",15,0.09036
adv(gener),13,0.07831
art(def),11,0.06627
conj(coord),8,0.04819
v(infin),6,0.03614
"v(fin,pres,aux_cop)",6,0.03614
n(prop),6,0.03614
"pron(pers,1,sing)",5,0.03012
adj(),4,0.0241
pron(poss),4,0.0241
adv(dem),4,0.0241
art(indef),3,0.01807
pron(dem),3,0.01807
n(plu),2,0.01205
"v(fin,past,lex)",2,0.01205
"pron(pers,1,plu)",2,0.01205
pron(rel),2,0.01205
num(indef),2,0.01205
v(imp),2,0.01205
adv(neg),2,0.01205
art(def)+n(sing),2,0.01205
pronadv(dem),1,0.00602
pronadv(rel),1,0.00602
"pron(pers,3,sing)",1,0.00602
adv(resum),1,0.00602
conj(subord),1,0.00602
num(card),1,0.00602
misc(),1,0.00602
interj(),1,0.00602
