POS,Nombre d'apparitions,Frequence d'apparition
n(sing),58,0.15591
n(prop),29,0.07796
adp(),24,0.06452
art(def),21,0.05645
"pron(pers,3,sing)",18,0.04839
"v(fin,past,lex)",18,0.04839
adv(gener),17,0.0457
pron(poss),17,0.0457
v(imp),14,0.03763
conj(coord),12,0.03226
"v(participle,past)",12,0.03226
n(plu),12,0.03226
adv(neg),11,0.02957
interj(),10,0.02688
v(infin),10,0.02688
"v(fin,pres,aux_cop)",9,0.02419
adj(),9,0.02419
"v(fin,pres,lex)",8,0.02151
"pron(pers,1,sing)",8,0.02151
"v(fin,past,aux_cop)",7,0.01882
punc(hyphen),6,0.01613
"pron(pers,2,plu)",4,0.01075
conj(subord),3,0.00806
num(indef),3,0.00806
"pron(pers,3,plu)",3,0.00806
"pron(pers,3,sing)+pron(pers,3,sing)",2,0.00538
pron(dem),2,0.00538
pronadv(dem),2,0.00538
misc(),2,0.00538
"pron(pers,2,sing)",2,0.00538
art(indef),2,0.00538
pron(indef),2,0.00538
art(def)+adp(),1,0.00269
adv(rel),1,0.00269
adv(dem),1,0.00269
adv(inter),1,0.00269
"pron(refl,3,sing)",1,0.00269
adp()+art(def),1,0.00269
"pron(pers,2,plu)+pron(pers,3,sing)",1,0.00269
pron(rel),1,0.00269
art(def)+adj(),1,0.00269
pronadv(inter),1,0.00269
num(ord),1,0.00269
"pron(pers,3,plu)+pron(pers,3,sing)",1,0.00269
"pron(pers,3,sing)+conj(subord)",1,0.00269
"v(participle,pres)",1,0.00269
punc(colon),1,0.00269
