POS,Nombre d'apparitions,Frequence d'apparition
n(sing),31,0.16848
adv(gener),25,0.13587
adp(),18,0.09783
"pron(pers,2,plu)",14,0.07609
conj(coord),12,0.06522
adj(),10,0.05435
"v(fin,pres,lex)",10,0.05435
art(def),9,0.04891
v(infin),7,0.03804
v(imp),6,0.03261
"v(fin,pres,aux_cop)",4,0.02174
"v(participle,past)",4,0.02174
n(prop),4,0.02174
"pron(pers,1,plu)",4,0.02174
pron(poss),3,0.0163
art(indef),3,0.0163
n(plu),3,0.0163
adv(indef),2,0.01087
adv(dem),2,0.01087
pronadv(rel),1,0.00543
misc(),1,0.00543
"v(fin,past,aux_cop)",1,0.00543
adv(),1,0.00543
"v(fin,pres,lex)+pron(pers,3,sing)+pron(pers,3,sing)",1,0.00543
pron(indef),1,0.00543
conj(comp),1,0.00543
conj(subord),1,0.00543
"pron(pers,3,sing)+conj(neg)",1,0.00543
"pron(pers,1,sing)",1,0.00543
interj(),1,0.00543
pron(dem),1,0.00543
adv(neg),1,0.00543
