POS,Nombre d'apparitions,Frequence d'apparition
n(sing),202,0.22671
adp(),83,0.09315
adj(),59,0.06622
"v(fin,pres,lex)",54,0.06061
adv(gener),49,0.05499
art(def),40,0.04489
conj(coord),35,0.03928
"v(fin,pres,aux_cop)",34,0.03816
"v(participle,past)",29,0.03255
art(indef),29,0.03255
pron(poss),28,0.03143
adv(neg),23,0.02581
n(prop),23,0.02581
"pron(pers,2,plu)",20,0.02245
"pron(pers,3,sing)",17,0.01908
v(infin),17,0.01908
"v(fin,past,lex)",15,0.01684
v(imp),12,0.01347
interj(),11,0.01235
pron(dem),11,0.01235
pron(rel),10,0.01122
pron(indef),9,0.0101
conj(subord),9,0.0101
adv(dem),8,0.00898
"pron(pers,2,sing)",7,0.00786
n(plu),6,0.00673
num(indef),6,0.00673
"v(fin,past,aux_cop)",4,0.00449
pronadv(rel),4,0.00449
adp()+art(def),2,0.00224
punc(quest),2,0.00224
misc(),2,0.00224
"pron(refl,2,plu)",2,0.00224
"v(fin,pres,aux_cop)+pron(pers,3,sing)",2,0.00224
"pron(pers,1,sing)",2,0.00224
"pron(pers,3,plu)",2,0.00224
adv(inter),2,0.00224
conj(comp),2,0.00224
"pron(pers,3,sing)+adv(neg)",1,0.00112
"adv(neg)+v(fin,pres,lex)",1,0.00112
pron(rel)+pronadv(pers),1,0.00112
n(sing)+art(def),1,0.00112
"v(fin,pres,lex)+pron(pers,3,sing)+pron(pers,3,sing)",1,0.00112
adp()+pron(poss),1,0.00112
"pron(refl,2,sing)",1,0.00112
pron(inter),1,0.00112
"pron(indef)+v(fin,past,aux_cop)",1,0.00112
conj(subord)+pron(indef),1,0.00112
"pron(indef)+v(fin,past,lex)",1,0.00112
num(card),1,0.00112
pronadv(pers),1,0.00112
n(sing)+art(def)+adp(),1,0.00112
"pron(refl,3,sing)",1,0.00112
adv(indef),1,0.00112
pronadv(dem),1,0.00112
art(def)+adp(),1,0.00112
art(def)+adj(),1,0.00112
