POS,Nombre d'apparitions,Frequence d'apparition
n(sing),97,0.18199
adp(),41,0.07692
"pron(pers,1,sing)",40,0.07505
pron(poss),36,0.06754
adv(gener),29,0.05441
"v(fin,pres,lex)",29,0.05441
conj(coord),28,0.05253
adj(),22,0.04128
"v(fin,pres,aux_cop)",18,0.03377
interj(),17,0.03189
v(infin),15,0.02814
"v(participle,past)",14,0.02627
art(def),12,0.02251
art(indef),11,0.02064
conj(subord),10,0.01876
n(plu),10,0.01876
v(imp),10,0.01876
"pron(pers,2,plu)",9,0.01689
n(prop),7,0.01313
"v(fin,past,lex)",7,0.01313
"pron(pers,3,sing)",7,0.01313
adv(neg),7,0.01313
misc(),6,0.01126
num(indef),5,0.00938
pron(indef),4,0.0075
pron(rel),4,0.0075
adv(dem),4,0.0075
"v(fin,past,aux_cop)",4,0.0075
"pron(pers,2,sing)",4,0.0075
pronadv(rel),3,0.00563
"pron(refl,3,sing)",2,0.00375
conj(comp),2,0.00375
"v(participle,pres)",2,0.00375
pronadv(dem),2,0.00375
adp()+art(def),2,0.00375
"pron(pers,3,plu)",2,0.00375
pron(dem),2,0.00375
adv(inter),2,0.00375
pron(dem)+adv(neg),1,0.00188
"v(fin,pres,lex)+pron(pers,3,plu)",1,0.00188
"pron(pers,3,sing)+conj(subord)",1,0.00188
adv(indef),1,0.00188
"pron(rel)+pron(pers,3,sing)",1,0.00188
"conj(subord)+pron(pers,3,plu)",1,0.00188
"pron(pers,3,sing)+interj()",1,0.00188
